Fav,Pos,Bib No,Name,Time,Gender,Gen Pos,Start,CP 1 - KM 5,CP 2 - KM 10,"CP 3 - KM 12,8",CP 4 - KM 15,"CP 5 - KM 19,8",Finish,race_name,race_large_logo,race_category,runner_id,race_link
,1,M11528,Khairullah,01:18:02,Male,1,00:00:00,00:18:13,00:17:51,00:10:57,00:07:44,00:17:13,00:06:02,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163368,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,2,M12379,IrwandiFokatea,01:19:29,Male,2,00:00:00,00:18:12,00:17:50,00:10:58,00:08:19,00:17:49,00:06:17,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164211,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,3,M11439,Wartono,01:20:33,Male,3,00:00:00,00:18:27,00:18:03,00:11:15,00:08:07,00:18:19,00:06:21,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163279,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,4,M11977,Chandra Anugrah Pratama,01:23:14,Male,4,00:00:00,00:19:10,00:19:27,00:11:45,00:08:13,00:17:59,00:06:37,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163811,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,5,M10350,Denny,01:23:53,Male,5,00:00:00,00:20:08,00:19:33,00:11:36,00:08:20,00:17:51,00:06:23,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162207,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,6,M13247,Taufiq Narendra Purnama Putra,01:25:46,Male,6,00:00:00,00:20:10,00:19:31,00:11:54,00:08:35,00:19:03,00:06:30,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-165046,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,7,M12446,Muhammad Humam Nugraha,01:28:06,Male,7,00:00:05,00:19:09,00:20:02,00:12:14,00:08:55,00:20:24,00:07:13,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164278,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,8,M12848,Aldin Kurniawan Petingko,01:28:54,Male,8,00:00:00,00:19:21,00:20:07,00:11:50,00:08:41,00:20:39,00:08:15,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,9,M11353,Sutomo,01:29:45,Male,9,00:00:02,00:20:50,00:20:47,00:12:37,00:09:01,00:19:54,00:06:32,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163193,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,10,M10861,Arif Rachman,01:29:57,Male,10,00:00:00,00:20:28,00:20:35,00:12:42,00:09:15,00:20:08,00:06:47,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162705,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
