Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,3451,OSIAS KAMLASI,00:18:30,00:18:30,ALL AGES,1,Male,1,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-21515,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
2,3334,Akhmad Nizar,00:18:45,00:18:43,ALL AGES,2,Male,2,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-20998,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
3,3312,Joseph Hanney,00:20:44,00:20:44,ALL AGES,3,Male,3,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-20976,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
4,3306,Isa Nurwaton,00:20:51,00:20:49,ALL AGES,4,Male,4,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-20970,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
5,3241,Heri Susanto,00:22:52,00:22:52,ALL AGES,5,Male,5,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-20905,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
6,3299,Gusti Komang Murcayana,00:23:19,00:23:19,ALL AGES,6,Male,6,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-20963,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
7,3463,Marc Lores,00:23:25,00:23:20,ALL AGES,7,Male,7,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-21127,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
8,3324,Arie Santika,00:23:38,00:23:35,ALL AGES,8,Male,8,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-20988,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
9,3412,Jerry Ferdian Mayazi,00:23:52,00:23:50,ALL AGES,9,Male,9,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-21076,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
10,3269,Oscar Martin,00:25:04,00:25:00,ALL AGES,10,Male,10,Indonesia Goes Pink,https://images.racetec.net/results/racelogo/19723/19723_19.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-19-3-20933,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19
