Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,CP 1 - KM 4,Pace,CP 2 - KM 8,Pace,Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
801,L4501,AMIR BABIKER,01:33:03.743,OPEN,2,Male,583,00:35:54.670,9:24 min/km,00:35:11.853,9:06 min/km,00:20:11.950,9:18 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151366,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
802,P5228,FITRIANI REZEKI,01:33:07.957,NATIONAL,196,Female,206,00:37:03.423,9:18 min/km,00:36:20.980,9:11 min/km,00:19:32.857,9:18 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152084,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
803,P4921,DEWI KUSUMA,01:33:08.000,NATIONAL,197,Female,207,00:37:01.867,9:18 min/km,00:36:23.560,9:12 min/km,00:19:31.157,9:18 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151786,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
804,M4011,ERDITYA INDRAWIRASTA,01:33:12.290,NATIONAL,571,Male,584,00:33:36.647,8:46 min/km,00:36:26.370,8:56 min/km,00:21:39.777,9:19 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150876,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
805,M4296,BAYU PRASETYA,01:33:16.430,NATIONAL,572,Male,585,00:31:46.587,8:33 min/km,00:39:43.247,9:14 min/km,00:19:19.150,9:19 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151161,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
806,M5297,FERRY HADIAN,01:33:23.267,NATIONAL,573,Male,586,00:30:23.930,7:38 min/km,00:37:39.527,8:31 min/km,00:25:08.307,9:20 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152153,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
807,M4497,LAMBERTUS SELAMET NUGROHO,01:33:24.173,NATIONAL,574,Male,587,00:36:50.467,9:21 min/km,00:36:09.230,9:11 min/km,00:19:49.913,9:20 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151362,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
808,M4143,SAIQA ILHAM AKBAR BS,01:33:37.833,NATIONAL,575,Male,588,00:36:06.867,9:13 min/km,00:36:37.817,9:11 min/km,00:20:06.567,9:21 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151008,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
809,M4849,AHMAD ZUBAIDI,01:33:47.613,NATIONAL,576,Male,589,00:30:53.387,7:55 min/km,00:41:41.613,9:10 min/km,00:20:22.717,9:22 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151714,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
810,P5197,RUTH TRIANA ARTOMORO,01:33:49.017,NATIONAL,198,Female,208,00:36:27.553,9:25 min/km,00:36:12.040,9:14 min/km,00:19:55.477,9:22 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152053,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
811,M4109,YOSUA AGUSTIN TRI PUTRA,01:33:51.540,NATIONAL,577,Male,590,00:33:29.433,8:29 min/km,00:36:43.010,8:50 min/km,00:23:09.037,9:23 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150974,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
812,P5172,EMMA SARA ANGELINE,01:33:53.487,NATIONAL,199,Female,209,00:31:37.380,8:00 min/km,00:41:25.143,9:10 min/km,00:20:26.007,9:23 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152037,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
813,M4307,NUR ALBAIT,01:33:54.430,NATIONAL,578,Male,591,00:37:41.170,10:00 min/km,00:37:47.610,9:43 min/km,00:16:05.107,9:23 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151172,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
814,P4129,ESTHI RAHMAWATI,01:33:55.563,NATIONAL,200,Female,210,00:35:58.293,9:20 min/km,00:36:23.490,9:13 min/km,00:20:09.670,9:23 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150994,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
