Pos,Bib No,Name,Category,Cat Pos,Gender,"CP 1 - KM 47,3","CP 2 - KM 79,7",CP 3 - KM 83,"CP 4 - KM 87,9",Finish,race_name,race_large_logo,race_category,runner_id,race_link
51,268,Doddy Sebastianus,Master A (40-49),15,Male,,03:22:43,00:15:11,00:34:23,00:08:42,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161032,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
52,324,Arifin Putra,Open,21,Male,,03:15:46,00:15:32,00:41:25,00:09:43,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161088,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
53,230,Fadhil Pratama,Open,22,Male,,03:08:19,00:20:04,00:47:10,00:07:56,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160994,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
54,179,R Sulistyono,Master A (40-49),16,Male,,03:10:29,00:20:15,00:44:52,00:08:48,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160943,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
55,335,Nesti Amelia Tauristia,Open,1,Female,,03:18:08,00:16:33,00:43:46,00:07:42,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161099,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
56,131,M Hadi Sunandar,Master B (50-59),9,Male,,03:15:49,00:14:07,00:48:34,00:09:05,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160895,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
57,332,Sari Kamal,Master A (40-49),1,Female,,03:21:05,00:15:15,00:45:25,00:09:19,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161096,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
58,198,Agung B Laksono,Master B (50-59),10,Male,,03:27:57,00:14:59,00:41:10,00:08:05,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160962,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
59,281,Hendro Pranoto,Master C (60+),3,Male,,03:27:39,00:14:53,00:41:59,00:10:36,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161045,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
60,233,Aron Husink,Open,23,Male,,03:23:13,00:16:09,00:44:23,00:12:04,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160997,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
61,243,Frans Agus Budiharto Budiharto,Master B (50-59),11,Male,,03:30:12,00:16:46,00:41:10,00:07:59,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161007,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
62,261,Arief Pradetya,Master A (40-49),17,Male,,03:16:19,00:16:02,00:57:20,00:07:56,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161025,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
63,194,Moleonoto The,Master A (40-49),18,Male,,03:36:52,00:13:01,00:39:48,00:07:58,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160958,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
64,276,Ryan Samuel,Open,24,Male,,03:20:31,00:15:02,00:53:48,00:10:55,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161040,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
65,296,Valentinus Daniel Chandra,Master A (40-49),19,Male,,03:30:31,00:17:59,00:45:55,00:11:20,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161060,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
