Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,KM 5,KM 10,KM 15,KM 18,"KM 21,1",KM 25,KM 30,KM 35,"KM 40,8",Finish,race_name,race_large_logo,race_category,runner_id,race_link
101,B10883,Bayu Khrisna Adrianto,03:55:50,National,59,Male,89,Indonesia,00:00:20,00:26:51,00:26:18,00:27:10,00:16:07,00:16:44,00:21:07,00:28:10,00:29:37,00:33:33,00:09:49,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199189,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
102,B10517,Abraham Sunarno,03:55:54,National,60,Male,90,Indonesia,00:00:04,00:23:14,00:23:53,00:25:36,00:15:30,00:15:49,00:21:55,00:31:14,00:32:52,00:35:47,00:09:56,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198823,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
103,B10850,Dievo Faliqul Isbah,03:56:23,National,61,Male,91,Indonesia,00:01:01,00:25:56,00:24:22,00:24:45,00:15:03,00:15:44,00:20:23,00:29:14,00:33:15,00:37:42,00:08:51,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199156,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
104,F10964,Eni Rosita,03:57:32,Master,1,Female,13,Indonesia,00:00:01,00:26:32,00:26:15,00:27:27,00:16:29,00:17:12,00:22:07,00:29:16,00:29:26,00:33:31,00:09:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199270,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
105,B10143,Abdul Aziz Dermawan,03:57:34,National,62,Male,92,Indonesia,00:00:01,00:26:32,00:26:16,00:27:27,00:16:28,00:17:11,00:22:08,00:29:16,00:29:22,00:33:35,00:09:13,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198449,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
106,C11250,Hardian Meditono,03:57:59,Master,21,Male,93,Indonesia,00:00:19,00:25:29,00:25:02,00:25:38,00:16:02,00:16:53,00:22:34,00:32:47,00:31:05,00:33:11,00:08:54,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199556,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
107,C11239,Ivan Martinus,03:58:10,Master,22,Male,94,Indonesia,00:00:02,00:22:39,00:22:24,00:26:12,00:14:20,00:17:35,00:20:42,00:34:05,00:35:42,00:35:31,00:08:52,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199545,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
108,B10118,Junizar Arya,03:58:13,National,63,Male,95,Indonesia,00:00:15,00:25:41,00:25:10,00:25:56,00:15:50,00:16:34,00:21:39,00:30:18,00:33:36,00:34:43,00:08:27,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198424,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
109,B10310,Panji Waryudianto,03:58:17,National,64,Male,96,Indonesia,00:00:09,00:26:51,00:25:47,00:27:07,00:16:12,00:17:04,00:22:06,00:31:56,00:30:39,00:31:52,00:08:29,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198616,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
110,B10696,Mochamad Aries Arfan,03:58:20,National,65,Male,97,Indonesia,00:00:05,00:28:14,00:26:43,00:27:37,00:16:48,00:17:20,00:21:50,00:29:44,00:29:33,00:31:50,00:08:30,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199002,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
111,B11270,Handi Wijaya,03:58:20,National,66,Male,98,Indonesia,00:00:09,00:28:21,00:28:10,00:28:13,00:16:54,00:17:29,00:21:57,00:28:15,00:28:50,00:31:35,00:08:22,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199576,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
