Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
381,30355,Abdul Hafiedz,01:27:58,01:24:53,ALL AGES,251,Male,251,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69564,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
382,30836,Bernadus William Pribudi,01:28:05,01:26:27,ALL AGES,252,Male,252,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70045,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
383,30856,Risanda Alirastra Budiantoro,01:28:07,01:27:16,ALL AGES,253,Male,253,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70065,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
384,30946,Setya Adji Wiharta,01:28:10,01:24:56,ALL AGES,254,Male,254,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70155,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
385,30327,Dicky Suryo Prasetyo,01:28:10,01:25:47,ALL AGES,255,Male,255,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69536,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
386,30973,Diajeng Ayesha Soeharto,01:28:10,01:25:49,ALL AGES,131,Female,131,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70182,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
387,30948,Farida Silitonga,01:28:12,01:26:51,ALL AGES,132,Female,132,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70157,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
388,30618,Rizki Dharma Putra,01:28:13,01:25:27,ALL AGES,256,Male,256,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69827,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
389,30239,Sony Adi Prabowo,01:28:13,01:26:35,ALL AGES,257,Male,257,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69448,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
390,30755,Joice D Kodong,01:28:14,01:28:11,ALL AGES,133,Female,133,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69964,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
391,30446,Inggriyani Kurniasari,01:28:16,01:27:38,ALL AGES,134,Female,134,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69655,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
392,30458,Kevin Arsa Kusuma Jaya,01:28:23,01:27:32,ALL AGES,258,Male,258,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69667,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
393,30211,Nugraheny R Rulyka,01:28:34,01:28:03,ALL AGES,135,Female,135,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69420,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
394,30439,Ibnu Yasid,01:28:35,01:25:43,ALL AGES,259,Male,259,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69648,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
395,30295,Johan Aprianto Kuntoro,01:28:41,01:25:28,ALL AGES,260,Male,260,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69504,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
396,30126,Prawiradewa,01:28:41,01:27:20,ALL AGES,261,Male,261,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69335,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
397,30158,Toriqul Hajjil Akbar,01:28:47,01:28:02,ALL AGES,262,Male,262,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69367,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
398,30593,Elena Finky Ribowo,01:28:50,01:26:47,ALL AGES,136,Female,136,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69802,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
399,30760,Adhitya Nugroho,01:28:51,01:25:31,ALL AGES,263,Male,263,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69969,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
400,30074,Alfida Novandari,01:28:52,01:28:48,ALL AGES,137,Female,137,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69283,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
