Pos,Bib No,Name,Net Time,Category,Cat Pos,Gender,Start,Finish,race_name,race_large_logo,race_category,runner_id,race_link
51,1984,FERRY SILVIANA FERONICA,00:15:41.807,35-39,1,Female,08:02:08.473,00:15:41.807,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-146185,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
52,1920,FAUZAN RIZANI,00:15:50.290,45-49,7,Male,07:50:18.647,00:15:50.290,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-146121,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
53,1671,andre michel,00:15:52.447,18-34,16,Male,07:53:30.587,00:15:52.447,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-145872,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
54,1953,OLIVIA KURNIAWAN,00:15:54.923,40-44,1,Female,07:54:25.093,00:15:54.923,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-146154,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
55,1891,HANDOKO,00:16:03.310,18-34,17,Male,08:03:53.007,00:16:03.310,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-146092,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
56,1893,HANS MORICO,00:16:04.097,18-34,18,Male,08:12:30.330,00:16:04.097,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-146094,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
57,1752,Yuan Rahadian,00:16:04.437,35-39,14,Male,07:53:27.213,00:16:04.437,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-145953,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
58,1069,Mamat Rahmat,00:16:08.250,40-44,8,Male,07:55:48.443,00:16:08.250,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-145270,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
59,1048,Dina Diana Permata,00:16:09.570,40-44,2,Female,08:05:23.703,00:16:09.570,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-145249,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
60,1049,Idaham Halid,00:16:11.927,40-44,9,Male,08:05:22.477,00:16:11.927,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-145250,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
61,1027,Yanizar Suryadratama,00:16:31.113,18-34,19,Male,07:53:49.007,00:16:31.113,L'ETAPE Indonesia 2022,https://images.racetec.net/results/racelogo/19723/19723_112.png,KOM,http://results.scorenow.co.id/myresults.aspx?uid=19723-112-3-145228,http://results.scorenow.co.id/results.aspx?CId=19723&RId=112
