Pos,Race No,Name,Time,Category,Cat Pos,Gender,Team,race_name,race_large_logo,race_category,runner_id,race_link
301,455,Nicholas Sapari,07:31:58,Male 18 - 39,109,Male,E2G,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18013,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
302,833,Kwee Sutrimo,07:32:01,Male 45 - 49,49,Male,XCBC,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18312,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
303,396,Fajri Wevqi Matoka,07:32:38,Male 40 - 44,61,Male,GRBC A,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-17958,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
304,232,stephanus r haryanto,07:32:53,Male 60 - 64,6,Male,,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-17859,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
305,823,Joe Silas Tigor,07:32:56,Male 55 - 59,24,Male,XCBC,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18305,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
306,886,Yan Ali Krisnadi,07:33:26,Male 18 - 39,108,Male,Pitstop Cycling Balikpapan,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18353,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
307,458,Rahman Umar,07:35:14,Male 55 - 59,25,Male,E2G,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18016,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
308,859,putri noer cholifah,07:36:23,Female 18 - 39,7,Female,TGC Korlantas Polri,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18336,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
309,747,Mariany Pirono,07:36:32,Female 40 - 44,5,Female,Manokwari bike club,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18257,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
310,862,Aan Suhanan,07:37:01,Male 50 - 54,31,Male,TGC Korlantas Polri,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18339,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
311,892,Nolly Sahumena,07:37:23,Male 40 - 44,63,Male,maluku,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18359,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
312,1328,putu rio rahdiana,07:38:12,Male 40 - 44,62,Male,pemprov bali,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18659,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
313,944,heri heri,07:39:08,Male 18 - 39,110,Male,TGC Korlantas Polri,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18407,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
314,233,donny hardiana,07:40:15,Male 45 - 49,50,Male,,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-17860,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
315,518,Jemmy Sorensen,07:40:29,Male 45 - 49,51,Male,E2G,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18072,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
316,861,Akbar Faisal,07:40:34,Male 40 - 44,64,Male,,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18338,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
317,550,Amin Selamat,07:40:35,Male 55 - 59,26,Male,Gowes Mania Jambi GMJ,GFNY BALI,https://images.racetec.net/results/racelogo/19723/19723_3002.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-3002-1-18090,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3002
