Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
37,C26,ADI WIJAYA,03:34:31,C (MEN 31 - 40),9,Male,33,Indonesia,00:37:11,01:30:22,01:18:29,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10867,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
38,C24,ANDRIE RHESA PRASTANTO,03:35:24,C (MEN 31 - 40),10,Male,34,Indonesia,00:30:57,01:34:37,01:24:03,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10865,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
39,C16,NEDY HANDAYA,03:36:22,C (MEN 31 - 40),11,Male,35,Indonesia,00:35:35,01:28:00,01:25:29,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10857,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
40,D49,BINBIN MARIANA,03:38:59,Top 5 Women,5,Female,5,Indonesia,00:35:35,01:27:57,01:27:18,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10890,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
41,E44,ARMANTO IDHAM HADJU,03:42:08,E (MEN 41 thn ke atas),13,Male,36,Indonesia,00:30:24,01:31:28,01:30:05,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10885,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
42,E40,WIDYA PERMANA,03:43:45,E (MEN 41 thn ke atas),14,Male,37,Indonesia,00:34:03,01:26:33,01:35:56,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10881,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
43,E37,YUNGKI PRABOWO,03:48:11,E (MEN 41 thn ke atas),15,Male,38,Indonesia,00:37:33,01:29:15,01:32:56,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10878,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
44,A10,QIU PROGOD,04:04:24,A (MEN 30 thn ke bawah),8,Male,39,Indonesia,00:56:41,01:30:30,01:30:31,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10851,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
45,E41,ALI NAPIAH,04:09:35,E (MEN 41 thn ke atas),16,Male,40,Indonesia,00:58:41,01:31:41,01:29:59,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10882,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
46,E30,AJI RACHMAN,04:12:49,E (MEN 41 thn ke atas),17,Male,41,Indonesia,00:55:59,01:33:58,01:30:30,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10871,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
,A11,ADY AKHMAD JUKARDI,DQ,A (MEN 30 thn ke bawah),,Male,,Indonesia,00:25:36,,,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10852,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
,E46,EDZARD RUEHE,DQ,E (MEN 41 thn ke atas),,Male,,Germany,00:29:35,01:17:59,,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10887,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
,55,DOLLY INDRA KOSWARA,DQ,A (MEN 30 thn ke bawah),,Male,,Indonesia,00:31:34,01:43:24,,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-1-10896,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
