Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,KM 5,KM 10,KM 15,KM 18,"KM 21,1",KM 25,KM 30,KM 35,"KM 40,8",Finish,race_name,race_large_logo,race_category,runner_id,race_link
301,11683,ARSYAD ANIS H,04:39:58,National,181,Male,279,,00:01:11,00:27:22,00:25:46,00:26:49,00:16:55,00:22:03,00:28:22,00:40:28,00:41:36,00:39:01,00:10:19,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199989,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
302,F11535,Carla Felany,04:40:09,Master,4,Female,23,Indonesia,00:00:14,00:28:15,00:27:31,00:30:03,00:18:01,00:23:08,00:29:22,00:36:40,00:36:34,00:39:53,00:10:25,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199841,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
303,C10324,Chang Mu Ken,04:40:14,Master,86,Male,280,Indonesia,00:00:37,00:31:43,00:30:43,00:32:30,00:19:11,00:20:04,00:25:47,00:34:07,00:34:19,00:39:36,00:11:32,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198630,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
304,B10858,Agus Supriyono,04:40:18,National,182,Male,281,Indonesia,00:00:16,00:28:17,00:28:11,00:28:54,00:17:56,00:18:58,00:27:56,00:38:41,00:39:00,00:42:15,00:09:50,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199164,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
305,A11246,Wang Qiwei,04:40:21,Overall,6,Male,282,China,00:00:08,00:27:29,00:28:12,00:28:39,00:20:33,00:18:52,00:28:50,00:36:43,00:42:07,00:40:01,00:08:42,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199552,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
306,B10044,Albet Setiawan Sutejo,04:40:31,National,183,Male,283,Indonesia,00:00:06,00:28:14,00:28:09,00:28:37,00:17:59,00:19:29,00:28:46,00:44:15,00:35:41,00:39:32,00:09:37,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198350,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
307,B10290,Adi Sucipto,04:40:48,National,184,Male,284,Indonesia,,,,,,,02:31:07,00:17:31,00:47:03,00:53:21,00:11:44,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198596,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
308,B11432,Gilang Insan Wisisa,04:40:54,National,185,Male,285,Indonesia,00:00:29,00:27:47,00:26:51,00:28:09,00:17:08,00:17:42,00:23:34,00:39:09,00:35:28,00:52:37,00:11:54,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199738,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
309,B10735,Zalfi Isroi Artsa,04:40:54,National,186,Male,286,Indonesia,00:00:20,00:27:56,00:26:51,00:28:10,00:17:07,00:17:42,00:23:09,00:37:25,00:37:39,00:52:38,00:11:52,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199041,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
310,F10012,Ulil Surtia Zulpratita,04:40:56,Master,5,Female,24,Indonesia,00:00:29,00:30:00,00:29:58,00:31:03,00:19:30,00:20:36,00:27:02,00:36:16,00:35:34,00:39:51,00:10:33,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198318,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
311,B11441,Dadan Sulaeman,04:40:56,National,187,Male,287,Indonesia,00:00:57,00:31:13,00:27:03,00:27:44,00:16:48,00:17:32,00:26:20,00:38:49,00:48:29,00:36:47,00:09:09,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199747,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
312,B11301,Charles Salim,04:41:08,National,188,Male,288,Indonesia,00:01:08,00:28:32,00:26:52,00:28:56,00:22:50,00:23:36,00:28:43,00:42:53,00:28:21,00:37:39,00:11:32,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199607,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
313,B10556,Mohamad Hanantri Thoyib,04:41:17,National,189,Male,289,Indonesia,00:00:04,00:27:20,00:27:24,00:28:31,00:17:04,00:17:44,00:23:20,00:43:15,00:42:59,00:44:21,00:09:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198862,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
314,B11127,Yongky Taruna Baja,04:41:18,National,190,Male,290,Indonesia,00:01:00,00:31:18,00:29:06,00:31:10,00:19:58,00:19:56,00:26:28,00:34:07,00:36:37,00:41:16,00:10:18,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199433,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
315,B10007,Yanuar Mardiyansah,04:41:24,National,191,Male,291,Indonesia,00:00:19,00:26:09,00:26:15,00:27:38,00:17:01,00:17:59,00:24:42,00:39:30,00:40:19,00:50:37,00:10:50,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198313,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
316,C10819,Faisal Sani,04:41:34,Master,87,Male,292,Indonesia,00:00:42,00:29:16,00:28:37,00:29:56,00:18:09,00:19:16,00:25:43,00:39:29,00:38:21,00:41:32,00:10:26,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199125,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
317,B10242,Misbakhul Munir,04:41:49,National,192,Male,293,Indonesia,00:06:25,00:29:03,00:31:33,00:31:35,00:18:14,00:19:04,00:24:45,00:32:27,00:35:36,00:43:08,00:09:54,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198548,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
318,C11171,Edrinal,04:41:50,Master,88,Male,294,Indonesia,00:00:52,00:30:21,00:28:09,00:28:37,00:17:47,00:18:41,00:25:24,00:38:14,00:38:20,00:43:43,00:11:38,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199477,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
319,B10522,Erry Kurniawan,04:42:00,National,193,Male,295,Indonesia,00:01:41,00:32:17,00:30:33,00:31:52,00:19:02,00:19:34,00:25:58,00:33:49,00:34:56,00:40:16,00:11:58,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198828,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
320,F10667,Dina Rubiana,04:42:05,Master,6,Female,25,Indonesia,00:00:28,00:30:16,00:29:59,00:31:56,00:19:41,00:20:34,00:26:32,00:35:05,00:35:57,00:40:18,00:11:13,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198973,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
321,C10260,Barry,04:42:05,Master,89,Male,296,Indonesia,00:00:21,00:28:48,00:27:55,00:28:47,00:17:15,00:18:16,00:28:33,00:40:00,00:39:08,00:41:44,00:11:14,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198566,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
322,C10178,Immanuel P Widjaja,04:42:08,Master,90,Male,297,Indonesia,00:00:06,00:29:47,00:28:08,00:30:02,00:17:41,00:18:51,00:24:44,00:37:47,00:39:02,00:45:26,00:10:30,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198484,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
323,B11247,Paulus Sagala,04:42:09,National,194,Male,298,Indonesia,00:00:10,00:28:24,00:27:59,00:28:07,00:16:46,00:18:04,00:28:17,00:36:23,00:39:37,00:46:06,00:12:13,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199553,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
324,B10152,Rivaldi Yudistira Bratanegara,04:42:12,National,195,Male,299,Indonesia,00:00:23,00:27:59,00:27:39,00:28:50,00:17:34,00:19:55,00:27:13,00:41:02,00:38:06,00:43:08,00:10:18,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198458,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
325,B10024,Peri Hardiyanto,04:42:21,National,196,Male,300,Indonesia,00:00:28,00:27:54,00:25:56,00:28:11,00:17:23,00:18:04,00:23:04,00:33:31,00:40:58,00:53:13,00:13:35,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198330,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
326,C10814,Anto Jusman,04:42:23,Master,91,Male,301,Indonesia,00:00:09,00:29:38,00:27:43,00:28:54,00:17:39,00:18:55,00:27:56,00:37:33,00:42:12,00:41:32,00:10:09,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199120,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
327,B10071,Fendyarea1,04:42:42,National,197,Male,302,Indonesia,00:00:12,00:27:21,00:26:55,00:27:32,00:16:48,00:18:21,00:26:27,00:40:30,00:41:14,00:44:53,00:12:23,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198377,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
328,A10784,Osamu Momozawa,04:42:52,Overall,7,Male,303,Japan,00:00:13,00:26:09,00:27:26,00:29:47,00:18:12,00:19:56,00:26:52,00:39:11,00:41:19,00:43:17,00:10:24,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199090,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
329,B10301,Precast Oktavianus,04:43:01,National,198,Male,304,Indonesia,00:00:21,00:30:28,00:30:33,00:31:22,00:18:43,00:20:16,00:26:07,00:34:00,00:36:56,00:42:44,00:11:24,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198607,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
330,C10844,Piter,04:43:03,Master,92,Male,305,Indonesia,00:00:13,00:27:18,00:27:53,00:30:07,00:18:26,00:20:06,00:26:38,00:37:09,00:40:13,00:44:57,00:09:57,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199150,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
331,C11087,Aga Parardya,04:43:12,Master,93,Male,306,Indonesia,00:00:43,00:31:08,00:30:13,00:31:48,00:19:14,00:20:45,00:27:11,00:39:49,00:33:07,00:39:58,00:09:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199393,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
332,B10110,Roni Paslah,04:43:57,National,199,Male,307,Indonesia,00:00:54,00:30:46,00:28:36,00:30:04,00:18:11,00:19:43,00:26:14,00:36:19,00:39:12,00:43:30,00:10:24,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198416,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
333,B10897,Norman Cahya Dwi Syahputra,04:44:04,National,200,Male,308,Indonesia,00:00:01,00:23:53,00:24:30,00:25:36,00:15:50,00:17:03,00:24:32,00:42:19,00:46:06,00:50:32,00:13:37,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199203,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
334,C10374,Broto Broto,04:44:19,Master,94,Male,309,Indonesia,00:01:04,00:31:34,00:30:34,00:31:09,00:18:53,00:20:09,00:25:02,00:37:52,00:34:43,00:42:21,00:10:53,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
335,B11103,Aulia Rahman,04:44:23,National,201,Male,310,Indonesia,00:01:36,00:33:12,00:31:38,00:34:18,00:16:41,00:18:37,00:27:30,00:40:20,00:34:17,00:38:50,00:07:18,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199409,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
336,C11517,Avi Mukti Amin,04:44:28,Master,95,Male,311,Indonesia,00:00:58,00:28:28,00:26:54,00:28:27,00:16:52,00:19:13,00:26:39,00:40:09,00:39:12,00:46:13,00:11:17,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199823,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
