Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,CP 1 - KM 6,CP 2 - KM 9.41,CP 3 - KM 17.22,Finish,race_name,race_large_logo,race_category,runner_id,race_link
551,C3102,Albertus Digwijaya,02:00:54,NATIONAL,329,Male,505,Indonesia,00:29:17,00:16:11,00:42:07,00:21:15,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182051,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
552,E4817,Hery Wibowo,02:00:56,NATIONAL MASTER,117,Male,506,Indonesia,00:34:14,00:18:32,00:43:12,00:22:38,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183766,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
553,C3631,Restu prasetyo,02:00:56,NATIONAL,330,Male,507,Indonesia,00:35:09,00:19:12,00:43:47,00:21:05,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182580,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
554,C3552,Dipta Prasetya Kusuma,02:00:57,NATIONAL,331,Male,508,Indonesia,00:32:32,00:18:05,00:44:34,00:25:01,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182501,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
555,A1846,Akinori Kitamura,02:01:00,INTERNATIONAL,23,Male,509,Japan,00:34:43,00:19:13,00:44:58,00:21:41,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180795,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
556,C2816,Bagus primadianto,02:01:03,NATIONAL,332,Male,510,Indonesia,00:29:19,00:17:24,00:47:27,00:26:32,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181765,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
557,C4169,Ridho Cahya Subagja,02:01:06,NATIONAL,333,Male,511,Indonesia,00:34:17,00:19:22,00:43:55,00:23:09,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183118,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
558,E2052,Edi Novijanto,02:01:07,NATIONAL MASTER,118,Male,512,Indonesia,00:34:17,00:19:25,00:43:52,00:23:09,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181001,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
559,E3680,Benny F Sopacua,02:01:13,NATIONAL MASTER,119,Male,513,Indonesia,00:35:35,00:18:55,00:43:19,00:22:03,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182629,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
560,C3529,Hartono Haris,02:01:17,NATIONAL,334,Male,514,Indonesia,00:33:33,00:20:29,00:44:14,00:22:55,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182478,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
561,C2452,Dede Eki Ramdani,02:01:18,NATIONAL,335,Male,515,Indonesia,00:32:22,00:17:59,00:44:39,00:25:06,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181401,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
562,C1931,Muhammad Faiq Aurelio,02:01:19,NATIONAL,336,Male,516,Indonesia,00:32:16,00:17:50,00:42:28,00:22:24,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180880,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
563,F3083,Mei Fang,02:01:19,NATIONAL MASTER,10,Female,47,Indonesia,00:34:23,,01:36:32,00:24:47,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182032,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
564,E3082,Andreas Widhatama Kurniawan,02:01:19,NATIONAL MASTER,120,Male,517,Indonesia,00:32:43,00:18:30,00:43:38,00:24:47,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182031,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
565,C2870,Siswo Edy Priyono,02:01:20,NATIONAL,337,Male,518,Indonesia,00:34:21,00:18:49,00:44:21,00:23:00,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181819,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
566,E1830,Budi Santosa,02:01:25,NATIONAL MASTER,121,Male,519,Indonesia,00:32:10,00:19:32,00:46:15,00:23:11,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180779,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
567,C3749,Rangga Pratama,02:01:27,HIMBARA,5,Male,520,Indonesia,00:33:29,00:18:45,00:44:19,00:24:31,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182698,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
568,C4974,Stefanus Rionaldo Kurniawan,02:01:28,NATIONAL,338,Male,521,Indonesia,00:33:31,00:18:34,00:44:14,00:23:19,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183923,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
569,C3962,Jonathan Aruan,02:01:29,NATIONAL,339,Male,522,Indonesia,00:33:16,00:18:46,00:44:02,00:24:55,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182911,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
570,E4652,Rizal martomo,02:01:31,NATIONAL MASTER,122,Male,523,Indonesia,00:33:25,00:18:16,00:44:23,00:22:21,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183601,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
571,E2914,Andy Rachman,02:01:32,NATIONAL MASTER,123,Male,524,Indonesia,00:34:41,00:18:45,00:42:51,00:23:36,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181863,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
572,E1353,Robertus Billitea,02:01:36,NATIONAL MASTER,124,Male,525,Indonesia,00:34:43,00:18:33,00:43:25,00:23:55,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180303,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
573,C4589,Muhammad Vierri,02:01:37,NATIONAL,340,Male,526,Indonesia,00:33:16,00:18:02,00:44:22,00:25:23,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183538,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
574,C2643,Sujud Fitri Alai,02:01:38,NATIONAL,341,Male,527,Indonesia,00:33:48,00:18:59,00:44:02,00:24:38,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181592,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
575,C2861,Alvin yohanes mamesah,02:01:45,NATIONAL,342,Male,528,Indonesia,00:33:57,00:18:09,00:43:53,00:23:31,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181810,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
576,C4955,Sandy Ghifary,02:01:53,NATIONAL,343,Male,529,Indonesia,00:32:33,00:18:07,00:43:48,00:24:11,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183904,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
577,D1628,YUNITA DWI ANDIANI,02:01:55,NATIONAL,19,Female,48,Indonesia,00:31:29,00:18:20,00:45:54,00:26:04,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180578,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
578,C3612,Yadi Supriadi,02:02:01,NATIONAL,344,Male,530,Indonesia,00:28:31,00:17:20,00:48:07,00:27:55,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182561,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
579,C1621,Hasan Basri,02:02:04,NATIONAL,345,Male,531,Indonesia,00:33:56,00:19:18,00:45:00,00:23:30,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180571,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
580,A1902,Adam Robert Weiss,02:02:06,INTERNATIONAL,24,Male,532,United States,00:35:53,00:18:33,00:42:41,00:23:48,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180851,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
581,C5012,Arvel Palaguna Pirngadi,02:02:10,NATIONAL,346,Male,533,Indonesia,00:33:20,00:19:10,00:45:46,00:23:10,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183961,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
582,E3910,Mus Mulyadi,02:02:16,NATIONAL MASTER,125,Male,534,Indonesia,00:34:34,00:19:10,00:44:01,00:23:40,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182859,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
583,C1752,Vincent yoan setiawan,02:02:22,NATIONAL,347,Male,535,Indonesia,00:34:02,00:18:54,00:43:23,00:23:09,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180702,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
584,C2875,Muhamad Randika Dharma,02:02:24,NATIONAL,348,Male,536,Indonesia,00:31:24,00:18:22,00:46:29,00:26:00,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181824,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
585,F3193,Siti masitoh,02:02:25,NATIONAL MASTER,11,Female,49,Indonesia,00:34:13,00:19:16,00:44:39,00:24:06,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182142,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
586,C4888,Endang Jamaludin,02:02:27,NATIONAL,349,Male,537,Indonesia,00:32:12,00:18:43,00:45:58,00:25:16,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183837,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
587,C3901,Muhammad Imam Fadhil,02:02:34,NATIONAL,350,Male,538,Indonesia,00:33:38,00:18:47,00:44:29,00:25:28,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182850,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
588,C4937,Mahafidz sultan,02:02:41,NATIONAL,351,Male,539,Indonesia,00:34:35,00:18:17,00:42:45,00:24:18,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183886,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
589,E4470,Hadi Sopyan,02:02:44,NATIONAL MASTER,126,Male,540,Indonesia,00:30:07,00:18:37,00:48:47,00:24:07,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183419,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
590,E3906,Yulianto,02:02:45,NATIONAL MASTER,127,Male,541,Indonesia,00:32:44,00:18:27,00:44:05,00:26:41,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182855,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
591,E4608,Johnny Pardede,02:02:57,Himbara MST,3,Male,542,Indonesia,00:34:42,00:19:06,00:44:52,00:22:48,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-183557,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
592,5466,MUHAMMAD HADI SAPUTRA,02:03:00,NATIONAL,352,Male,543,Indonesia,00:31:43,00:17:46,00:45:28,00:27:39,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-184415,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
593,E1535,PENGARAPENTA TARIGAN,02:03:01,NATIONAL MASTER,128,Male,544,Indonesia,00:33:29,00:18:58,00:45:22,00:24:45,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180485,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
594,C4040,Ade Kurniawan,02:03:02,NATIONAL,353,Male,545,Indonesia,00:35:53,00:19:19,00:42:19,00:22:20,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-182989,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
595,C1990,Lintar Hanggara Prasetya,02:03:07,NATIONAL,354,Male,546,Indonesia,00:32:13,00:18:31,00:49:46,00:22:29,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-180939,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
596,C5074,Andrew,02:03:13,NATIONAL,355,Male,547,Indonesia,00:34:18,00:20:47,00:45:06,00:22:49,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-184023,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
597,C2405,Taufik Abdullah,02:03:17,NATIONAL,356,Male,548,Indonesia,00:32:43,00:17:58,00:44:02,00:26:14,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181354,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
598,C2569,Galang Mauldcard Casae,02:03:18,NATIONAL,357,Male,549,Indonesia,00:30:50,00:19:43,00:46:21,00:24:50,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181518,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
599,C2375,Muh Rizki Wahyu Hidayat,02:03:20,NATIONAL,358,Male,550,Indonesia,00:34:58,00:19:33,00:42:55,00:22:31,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181324,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
600,C2489,Ari Budiyanto,02:03:21,NATIONAL,359,Male,551,Indonesia,00:31:24,00:18:06,00:45:36,00:26:36,LPS Monas Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_135.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-135-1-181438,http://results.scorenow.co.id/results.aspx?CId=19723&RId=135
