Fav,Pos,Bib No,Name,Time,Gender,Gen Pos,Start,CP 1 - KM 5,CP 2 - KM 10,"CP 3 - KM 12,8",CP 4 - KM 15,"CP 5 - KM 19,8",Finish,race_name,race_large_logo,race_category,runner_id,race_link
,1801,M13069,Firman Naufal Maulana,02:55:53,Male,1404,00:01:38,00:35:46,00:32:35,00:24:28,00:18:35,00:46:48,00:15:59,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164884,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1802,M12970,Alfi,02:55:55,Male,1405,00:01:13,00:38:28,00:34:30,00:22:20,00:16:31,00:43:57,00:18:55,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164794,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1803,M11237,Asa Ibrahim Zainal Asikin,02:55:55,Male,1406,00:03:47,00:38:58,00:37:29,00:23:39,00:16:43,00:40:50,00:14:26,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163078,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1804,M13182,Rasyid Halimi,02:56:00,Male,1407,00:02:30,00:36:01,00:36:09,00:23:39,00:17:52,00:45:37,00:14:08,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164986,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1805,M11466,Ahmad Abrori,02:56:02,Male,1408,00:03:28,00:42:38,00:37:02,00:24:08,00:15:50,00:39:06,00:13:48,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163306,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1806,M12949,Muhammad Zakky Zulfikar,02:56:04,Male,1409,00:03:13,00:37:23,00:36:41,00:23:33,00:17:00,00:42:36,00:15:36,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164776,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1807,F11648,Feilin Tanita,02:56:04,Female,354,00:02:43,00:40:20,00:38:48,00:23:54,00:16:42,00:39:33,00:14:02,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163487,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1808,M10918,Akhmad Dani Lukman,02:56:06,Male,1410,00:02:38,00:36:29,00:33:35,00:21:43,00:15:43,00:48:02,00:17:54,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162762,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1809,M10361,Aji Wijaya,02:56:07,Male,1411,00:02:40,00:36:16,00:33:46,00:21:42,00:15:45,00:48:12,00:17:44,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162217,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1810,M11647,Daryono,02:56:09,Male,1412,00:02:22,00:40:45,00:37:12,00:25:54,00:16:58,00:39:06,00:13:47,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163486,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1811,M12996,Wahyu Bambang Prabowo,02:56:11,Male,1413,00:01:41,00:41:30,00:35:29,00:25:11,00:17:41,00:41:35,00:13:02,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164819,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1812,F11245,Roro Ayu Devy Permatasari,02:56:13,Female,355,00:03:47,00:38:59,00:37:29,00:23:39,00:16:06,00:41:28,00:14:43,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163086,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1813,M10772,Hery Dwinanto,02:56:14,Male,1414,00:03:49,00:40:44,00:38:07,00:23:23,00:16:38,00:39:34,00:13:56,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162616,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1814,M11048,Hendricho Three Doli Sitompul,02:56:16,Male,1415,00:00:23,00:30:40,00:33:04,00:26:28,00:23:24,00:45:40,00:16:33,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162890,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1815,M10709,Subhan Dharma,02:56:22,Male,1416,00:04:42,00:38:12,00:35:52,00:25:33,00:17:05,00:41:59,00:12:56,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162555,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1816,M10175,Faiqul Mustafid,02:56:23,Male,1417,00:01:46,00:38:27,00:36:39,00:23:36,00:16:48,00:44:14,00:14:49,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162035,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1817,F10990,Dwi Kinasih Muliarta,02:56:28,Female,356,00:03:57,00:40:08,00:36:31,00:24:52,00:17:22,00:40:14,00:13:20,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162833,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1818,M11110,Yoserio Saragih,02:56:31,Male,1418,00:02:57,00:38:07,00:35:58,00:23:35,00:17:55,00:44:47,00:13:10,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-162951,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1819,F10119,Ester Handajani,02:56:32,Female,357,00:00:32,00:43:51,00:37:33,00:23:34,00:17:14,00:40:10,00:13:34,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-161979,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1820,M11866,Mochamad Oky Surya Gumilar,02:56:34,Male,1419,00:03:56,00:38:42,00:36:49,00:23:19,00:16:26,00:41:32,00:15:47,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163701,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1821,F12956,Yani Febriyanti,02:56:36,Female,358,00:00:10,00:38:15,00:39:05,00:25:25,00:17:53,00:40:53,00:14:51,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164783,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1822,M12803,Rahmadani Sahri,02:56:38,Male,1420,00:02:41,00:39:19,00:37:10,00:24:10,00:17:29,00:41:22,00:14:24,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164635,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1823,F12563,Ayu Septiani Erawan,02:56:40,Female,359,00:01:47,00:43:56,00:41:34,00:25:16,00:15:23,00:35:56,00:12:45,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-164395,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1824,M10036,Yavis Parta,02:56:41,Male,1421,00:01:42,00:36:18,00:39:08,00:24:19,00:18:03,00:42:12,00:14:55,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-161896,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
,1825,M11851,Jefri Arditya Pamungkas,02:56:42,Male,1422,00:01:24,00:36:10,00:35:47,00:23:28,00:17:26,00:45:25,00:16:58,Bank Jateng Tilik Candi,https://images.racetec.net/results/racelogo/19723/19723_124.png,Bank Jateng Tilik Candi Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-124-1-163686,http://results.scorenow.co.id/results.aspx?CId=19723&RId=124
