Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
219,ANDY LORDIANTO,02:22:46,30 - 34,1,Male,1,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130056,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
273,GERRY ALVIANTO,02:34:24,45 - 49,1,Male,2,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130110,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
260,JIMMY PANGESTOE,02:36:14,40 - 44,1,Male,3,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130097,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
305,DEDY BUNYAMIN,02:40:13,50 - 54,1,Male,4,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130142,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
272,PLUTO GASANOVA,02:40:19,45 - 49,2,Male,5,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130109,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
277,KHOE WIE THONG,02:42:16,45 - 49,3,Male,6,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130114,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
298,LEE KWET KI BENJAMIN,02:43:08,55 - 59,1,Male,7,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130135,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
276,GUNTUR WIBOWO,02:44:27,45 - 49,4,Male,8,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130113,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
285,MUKTI SL,02:49:03,45 - 49,5,Male,9,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130122,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
201,MARLON MIKAIL,02:49:29,18 - 23,1,Male,10,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130038,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
203,INDRA KUSUMA WIJAYA,02:51:02,24 - 29,1,Male,11,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130040,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
215,MALVIN BRANDON ALRIANO,02:52:39,30 - 34,2,Male,12,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130052,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
240,IZHAR MUTTAQIN,02:52:42,35 - 39,1,Male,13,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130077,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
213,CHRIS VALENDRA,02:53:35,30 - 34,3,Male,14,Palembang Triathlon,https://images.racetec.net/results/racelogo/19723/19723_81.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-81-2-130050,http://results.scorenow.co.id/results.aspx?CId=19723&RId=81
