Pos,Bib No,Name,Category,Cat Pos,Gender,CP 1 - KM,CP 2 - KM,Finish,race_name,race_large_logo,race_category,runner_id,race_link
,507,Jeremy Brennan,Master A (40-49),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161201,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,508,Sukri Fitrizan,Master A (40-49),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161202,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,511,Harry Musfiar,Master B (50-59),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161205,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,524,Budi Harimawan Semihardjo,Master B (50-59),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161218,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,525,Edi Poncolaksito,Master B (50-59),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161219,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,526,Nina Nindya,Master A (40-49),,Female,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161220,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,528,Dave Shuker,Master B (50-59),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161222,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,529,Ardhivipala Gunawijaya,Master A (40-49),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161223,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,531,Dylan Thomas,Under 40,,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161225,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,540,Setia Budi Utomo,Master B (50-59),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161234,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,542,Bambang Harjono,Master A (40-49),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161236,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,543,Aditya Windarwo,Master A (40-49),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161237,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,545,Lauransy Danisworo,Master A (40-49),,Female,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161239,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,547,Cindy Boom,Master B (50-59),,Female,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161241,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
,548,Ray Gerungan,Master B (50-59),,Male,,,,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-2-161242,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
