Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,CP 1 - Km 2,CP 2 - Km 6,CP 3 - Km 10,"CP 4 - Km 17,5",Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,A1454,Rikki Marthin Simbolon,01:06:35,Top 6 National Winners,1,Male,1,Indonesia,00:00:00,00:06:03,00:13:04,00:12:32,00:22:21,00:12:32,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209515,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
2,A1456,Nofeldi Petingko,01:09:41,Top 6 National Winners,2,Male,2,Indonesia,00:00:01,00:06:02,00:13:16,00:13:07,00:23:12,00:14:01,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209517,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
3,A1278,Nurshodiq,01:10:11,Top 6 National Winners,3,Male,3,Indonesia,00:00:00,00:06:04,00:13:05,00:13:03,00:23:58,00:14:01,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209340,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
4,A1446,Irmansah,01:10:58,Top 6 National Winners,4,Male,4,Indonesia,00:00:01,00:06:28,00:13:59,00:13:12,00:23:35,00:13:40,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209507,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
5,A1523,Hendrik Nainggolan,01:14:37,Top 6 National Winners,5,Male,5,Indonesia,00:00:00,00:06:30,00:13:59,00:13:43,00:25:32,00:14:52,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209584,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
6,A1533,Panji Adi Putra,01:14:38,Top 6 National Winners,6,Male,6,Indonesia,00:00:00,00:06:30,00:14:00,00:13:41,00:25:31,00:14:54,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209594,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
7,A1257,Muhammad Ady Saputra,01:14:39,National,1,Male,7,Indonesia,00:00:00,00:06:29,00:13:58,00:13:44,00:25:32,00:14:53,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209319,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
8,B1300,Odekta Elvina Naibaho,01:17:51,Top 6 National Winners,1,Female,1,Indonesia,00:00:00,00:06:46,00:15:08,00:14:56,00:26:00,00:14:59,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209362,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
9,C1510,Moh Ishari,01:17:52,Master,1,Male,8,Indonesia,00:00:00,00:06:46,00:15:09,00:14:54,00:26:01,00:14:59,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209571,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
10,A1522,Chandra Anugrah Pratama,01:17:53,National,2,Male,9,Indonesia,00:00:01,00:06:32,00:15:00,00:14:48,00:26:17,00:15:11,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209583,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
11,C1242,Saiin Alim,01:18:37,Master,2,Male,10,Indonesia,00:00:00,00:06:46,00:15:08,00:14:56,00:26:15,00:15:30,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209304,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
12,C1485,Siu Fat,01:21:48,Master,3,Male,11,Indonesia,00:00:00,00:06:46,00:15:08,00:14:56,00:28:09,00:16:46,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209546,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
13,B1255,Dwi Tiansi Anggraini,01:23:08,Top 6 National Winners,2,Female,2,Indonesia,00:00:00,00:07:14,00:16:00,00:15:50,00:27:48,00:16:14,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209317,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
14,A1685,Martin Gabriel,01:23:44,National,3,Male,12,Indonesia,00:00:01,00:07:11,00:15:24,00:15:07,00:29:07,00:16:51,PLN Electric Run,https://images.racetec.net/results/racelogo/19723/19723_155.png,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-155-1-209746,http://results.scorenow.co.id/results.aspx?CId=19723&RId=155
