Pos,Bib No,Name,Laps,Time,Gender,Gen Pos,Country,Fastest Lap,Slowest Lap,Average Lap,Start,race_name,race_large_logo,race_category,runner_id,race_link
1,3005,Alfridus Mau,48,02:56:53,Male,1,Indonesia,00:03:18,00:04:04,00:03:41,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193679,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
2,3030,putu andika andryawan,46,02:55:04,Male,2,Indonesia,00:03:21,00:06:49,00:03:48,00:00:07,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193704,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
3,3021,Josh Fothergill,45,02:56:43,Male,3,,00:03:15,00:07:43,00:03:55,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193695,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
4,3028,I Made Budiana,41,02:56:08,Male,4,Indonesia,00:04:06,00:04:40,00:04:17,00:00:06,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193702,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
5,3023,Jack Ahearn,41,02:57:04,Male,5,Australia,00:03:26,00:05:16,00:04:19,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193697,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
6,3015,Aquila Meidina Enzi,36,02:59:08,Female,1,Indonesia,00:03:45,00:05:54,00:04:58,00:00:05,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193689,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
7,8001,Brad Kim,35,02:56:01,Male,6,Australia,00:04:33,00:06:14,00:05:01,00:00:26,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193706,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
8,3031,Alberd Kamlasi,34,02:54:07,Male,7,Indonesia,00:03:36,00:08:23,00:05:07,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193705,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
9,3016,Shae Lamond,34,02:58:00,Female,2,Australia,00:03:50,00:06:06,00:05:14,00:00:06,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193690,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
10,3006,Ida Bagus Putu Oka Mahendra,34,02:59:40,Male,8,Indonesia,00:04:46,00:06:20,00:05:17,00:00:09,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193680,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
11,3003,I Gede Putu Yoga Darmika,33,02:59:55,Male,9,Indonesia,00:04:35,00:06:23,00:05:27,00:00:32,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193677,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
12,3020,Melisa Rosalina Legawaputri,32,02:55:01,Female,3,Indonesia,00:04:04,00:06:56,00:05:28,00:00:05,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193694,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
13,3004,Sandy Surya Subekti,32,02:57:40,Male,10,Indonesia,00:04:17,00:06:02,00:05:33,00:00:31,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193678,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
14,3013,Ngakan Putra,32,02:59:46,Male,11,Indonesia,00:04:03,00:06:53,00:05:37,00:00:14,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193687,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
15,3014,M Januario M Januario,31,02:54:18,Male,12,Indonesia,00:04:37,00:07:32,00:05:37,00:00:05,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193688,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
16,3008,Andreas Wolf,31,02:55:39,Male,13,Austria,00:04:09,00:11:44,00:05:39,00:00:03,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193682,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
17,3017,Ashoka Sudibyo Raharjo,31,02:57:11,Male,14,Indonesia,00:02:13,00:09:17,00:05:42,00:00:16,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193691,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
18,3002,Sakiyakerti Sakiyakerti,29,02:55:30,Female,4,Indonesia,00:05:21,00:07:26,00:06:03,00:00:07,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193676,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
19,3027,Purnama Jaya,29,02:58:58,Male,15,Indonesia,00:04:57,00:09:05,00:06:10,00:00:43,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193701,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
20,3018,Taufan Halim,29,02:59:27,Male,16,Indonesia,00:05:12,00:07:13,00:06:11,00:00:29,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193692,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
21,3001,Destina Kartikasari,28,02:56:13,Female,5,Indonesia,00:05:35,00:06:49,00:06:17,00:00:17,RunTill You Drop 6,https://images.racetec.net/results/racelogo/19723/19723_148.jpg,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-148-1-193675,http://results.scorenow.co.id/results.aspx?CId=19723&RId=148
