Pos,Bib No,Name,Net Time,Category,Net Cat Pos,Second Cat,Gender,Country,"CP1 - KM 39,56","CP2 - KM 62,5",Finish Split Time,race_name,race_large_logo,race_category,runner_id,race_link
82,326,Aditya Haikal,03:04:08,M 45-49,10,,Male,Indonesia,01:19:54,01:02:15,00:41:58,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-157795,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
83,950,Nurmi Pandit,03:05:04,M 45-49,11,,Male,Indonesia,01:19:51,01:02:17,00:42:55,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158417,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
84,1114,Stevani Krisma,03:05:50,W 18-34,7,,Female,Indonesia,01:20:36,01:02:22,00:42:52,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158531,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
85,1011,Mardiana Ekawati,03:06:58,W 40-44,6,,Female,Indonesia,01:34:06,00:51:44,00:41:07,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158428,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
86,1089,Basri Ganto Ganto,03:08:07,M 45-49,12,,Male,Indonesia,01:15:33,01:00:40,00:51:53,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158506,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
87,1137,Hendra Hendra,03:08:22,M 50-54,10,,Male,Indonesia,01:18:25,00:59:33,00:50:23,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158554,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
88,1040,Bono Daru Adji,03:08:37,M 50-54,11,,Male,Indonesia,01:22:56,00:57:07,00:48:33,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158457,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
89,1118,Faizal Kuraesin,03:10:30,M 35-39,10,,Male,Netherlands,01:22:57,01:00:01,00:47:31,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158535,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
90,1113,Indira Yustikania,03:10:34,W 35-39,10,,Female,Indonesia,01:23:00,01:00:01,00:47:32,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158530,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
91,1149,Pria Yuda,03:11:22,M 35-39,11,,Male,Indonesia,01:20:24,01:00:00,00:50:57,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158566,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
92,1069,Diah Fatma Sjoraida,03:11:56,W 50-54,3,,Female,Indonesia,01:19:11,01:01:26,00:51:18,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158486,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
93,819,Akhmad Amri Abadan,03:13:28,M 35-39,12,,Male,Indonesia,01:16:32,01:11:34,00:45:20,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158288,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
94,816,Ahmad Solichin Lutfiyanto,03:13:28,M 50-54,12,,Male,Indonesia,01:16:42,01:11:25,00:45:20,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158285,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
95,1081,Masitah Masitah,03:15:28,W 18-34,8,,Female,Indonesia,01:20:34,01:02:22,00:52:31,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158498,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
96,1100,Ardi Wijaya,03:18:08,M 18-34,17,,Male,Indonesia,01:20:05,01:06:17,00:51:46,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158517,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
97,1117,Drg Lia Dahliana Sp Ort,03:18:16,W 50-54,4,,Female,Indonesia,01:25:29,00:59:27,00:53:19,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158534,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
98,1072,Rony Setiawan,03:18:46,M 45-49,13,,Male,Indonesia,01:18:55,01:21:39,00:38:12,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158489,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
99,1071,Indra Setiawan,03:18:47,M 35-39,13,,Male,Indonesia,01:18:58,01:21:39,00:38:09,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158488,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
100,1079,Vilia Jingga,03:19:07,W 40-44,7,,Female,Indonesia,01:18:35,01:21:38,00:38:53,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158496,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
