Pos,Race No,Name,Time,Gender,Gen Pos,Laps,Fastest Lap,Slowest Lap,Average Lap,race_name,race_large_logo,race_category,runner_id,race_link
51,3053,DHARMA SATYA DAWIS,02:49:30,Male,44,10,00:15:02,00:19:07,00:16:57,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41114,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
52,3015,IWAN KARTONO,02:50:50,Male,45,10,00:15:23,00:20:17,00:17:05,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41076,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
53,3006,YADITTA MIRDANIA,02:57:14,Female,8,10,00:16:00,00:20:42,00:17:43,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41067,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
54,3077,YUS ADRIAN ARYANTO,02:57:14,Male,46,10,00:15:13,00:23:22,00:17:43,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41138,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
55,3084,YUDI PACER,02:08:37,Male,47,9,00:05:20,00:15:55,00:14:17,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41164,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
56,3016,JIMMY SUGIARTA,02:33:16,Male,48,9,00:13:51,00:20:17,00:17:01,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41077,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
57,308,PAULUS PANGGABEAN,02:39:10,Male,49,9,00:15:16,00:25:31,00:17:41,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-40586,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
58,3061,ELLY VLASBLOM HEIJMANS,02:42:24,Female,9,9,00:16:38,00:19:46,00:18:02,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41122,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
59,305,MADE TIMOTIUS MOERTHY,02:46:15,Male,50,9,00:16:29,00:25:45,00:18:28,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-40583,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
60,306,I NYOMAN SANTIAWAN,02:47:55,Male,51,9,00:15:25,00:23:15,00:18:39,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-40584,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
61,3073,NI KOMANG ARYANTINI,02:49:23,Female,10,9,00:13:02,00:23:32,00:18:49,Run till You Drop 4,http://results.scorenow.co.id/Images/Clients/19723.png,3 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-25-1-41134,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25
