Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,30985,Abera Tariku Demelash,00:30:16,00:30:15,ALL AGES,1,Male,1,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70194,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
2,30933,Daniel Kiarie Gachui,00:30:23,00:30:21,ALL AGES,2,Male,2,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70142,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
3,30914,Joseph Mwangi Ngare,00:30:28,00:30:26,ALL AGES,3,Male,3,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70123,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
4,30977,James Gikunga Karanja,00:31:04,00:31:03,ALL AGES,4,Male,4,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70186,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
5,30996,Peter Kirwa Kipsugut,00:31:06,00:31:05,ALL AGES,5,Male,5,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70205,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
6,31004,Paul Selian,00:31:11,00:31:09,ALL AGES,6,Male,6,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70213,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
7,30959,Alice Muthoni Koigi,00:36:10,00:36:10,ALL AGES,1,Female,1,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70168,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
8,30915,Alice Kabura Njoroge,00:48:22,00:48:22,ALL AGES,2,Female,2,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-70124,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
9,30496,Ade Kurniawan,00:48:36,00:46:41,ALL AGES,7,Male,7,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69705,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
10,30058,Sugino,00:49:24,00:49:24,ALL AGES,8,Male,8,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69267,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
11,30075,Yunus,00:50:27,00:50:26,ALL AGES,9,Male,9,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69284,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
12,30507,Sigit Probosunu,00:51:36,00:51:35,ALL AGES,10,Male,10,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69716,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
13,30522,Tri Damar Ghufron,00:51:38,00:49:38,ALL AGES,11,Male,11,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69731,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
14,30184,Felisitas Yuni Antalia,00:53:49,00:53:40,ALL AGES,3,Female,3,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69393,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
15,30183,Yanto,00:53:51,00:53:39,ALL AGES,12,Male,12,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69392,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
16,30680,Arief Rahmatullah,00:54:04,00:53:55,ALL AGES,13,Male,13,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69889,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
17,30414,Abdul Aziz,00:55:33,00:55:26,ALL AGES,14,Male,14,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69623,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
18,30057,Tarno,00:55:55,00:55:53,ALL AGES,15,Male,15,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69266,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
19,30220,Ridzwan Ananto,00:56:09,00:54:22,ALL AGES,16,Male,16,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69429,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
20,30788,Christian Ronaldo,00:56:10,00:55:28,ALL AGES,17,Male,17,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69997,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
21,30164,Ade Agus Putra,00:56:20,00:56:16,ALL AGES,18,Male,18,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69373,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
22,30373,Galan Heryanto,00:56:30,00:54:35,ALL AGES,19,Male,19,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69582,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
23,30172,Mas Soni Pratomo,00:56:33,00:55:11,ALL AGES,20,Male,20,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69381,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
24,30562,Reny Rosmini,00:57:10,00:57:06,ALL AGES,4,Female,4,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69771,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
25,30549,Peni Dwi Purnomo,00:58:22,00:58:14,ALL AGES,21,Male,21,,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,10K Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-4-69758,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
