Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
532,40353,Maulana Inamul Hasan,06:06:19,06:04:48,INDONESIAN,299,Male,462,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70572,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
533,41280,Asep Gumilar Hidayat,06:06:29,06:05:15,INDONESIAN,300,Male,463,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71499,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
534,40105,Yuli Rianastasia,06:06:32,06:06:18,MASTER,30,Female,71,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70324,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
535,40390,Hardie Martua,06:06:34,06:05:32,INDONESIAN,301,Male,464,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70609,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
536,40596,Idoman Puar,06:06:38,06:05:34,MASTER,163,Male,465,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70815,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
537,41042,Semuel Chilyon,06:07:04,06:05:51,INDONESIAN,302,Male,466,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71261,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
538,40180,Gunawan,06:07:04,06:06:15,INDONESIAN,303,Male,467,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70399,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
539,40236,Yan Marchell,06:07:13,06:06:27,INDONESIAN,304,Male,468,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70455,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
540,40254,Ahmad Haidar,06:07:27,06:06:18,INDONESIAN,305,Male,469,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70473,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
541,41101,Susana Moelyastuti,06:07:36,06:05:28,MASTER,31,Female,72,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71320,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
542,40154,Bahagi Barud,06:07:36,06:05:29,MASTER,164,Male,470,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70373,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
543,40994,Frans Langitan,06:07:37,06:06:56,MASTER,165,Male,471,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71213,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
544,40779,Yoga Pramito,06:07:44,06:06:59,INDONESIAN,306,Male,472,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70998,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
545,41113,Haritsyah Luthfi,06:07:52,06:06:20,INDONESIAN,307,Male,473,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71332,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
546,40313,Tedjo Veliani,06:07:59,06:06:16,MASTER,32,Female,73,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70532,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
547,40906,Andi Anjas Asmara,06:08:37,06:07:39,MASTER,166,Male,474,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71125,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
548,40422,Faiz Nasrulloh,06:08:37,06:06:31,INDONESIAN,308,Male,475,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70641,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
549,41081,Condrovisoko R Utomoputro,06:08:49,06:08:20,INDONESIAN,309,Male,476,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-71300,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
550,40363,Heri Wahyudi,06:08:55,06:08:44,INDONESIAN,310,Male,477,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Closed,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-5-70582,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
