Pos,Race No,Name,Time,Category,Gender,Gen Pos,Country,Laps,Fastest Lap,Slowest Lap,Average Lap,race_name,race_large_logo,race_category,runner_id,race_link
501,2397,Noni Raga,01:54:03,AllAges,Female,131,Indonesia,5,00:20:58,00:26:09,00:22:48,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89087,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
502,2342,Ayu Pt Mertha Sri Abdi,01:54:42,AllAges,Female,132,Indonesia,5,00:21:10,00:24:34,00:22:56,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89032,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
503,2182,Komang Putri Haryanti,01:54:58,AllAges,Female,133,Indonesia,5,00:22:44,00:23:19,00:22:59,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-88872,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
504,2010,Manik Novita Dewi,01:56:57,AllAges,Female,134,Indonesia,5,00:22:13,00:25:04,00:23:23,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-88700,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
505,2524,Kristitarini,01:57:05,AllAges,Female,135,Indonesia,5,00:23:03,00:23:48,00:23:25,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89214,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
506,2175,Nita Tiara,01:58:37,AllAges,Female,136,Indonesia,5,00:21:57,00:25:13,00:23:43,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-88865,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
507,2266,Fauzan Kamil,01:25:50,AllAges,Male,371,Indonesia,4,00:19:49,00:22:58,00:21:27,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-88956,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
508,2344,Ni Nyoman Suseni,01:37:32,AllAges,Female,137,Indonesia,4,00:21:19,00:26:40,00:24:23,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89034,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
509,2452,Diana Mayasari,01:38:40,AllAges,Female,138,Indonesia,4,00:24:24,00:24:53,00:24:40,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89142,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
510,2327,Alfrida Samosir,01:42:20,AllAges,Female,139,Indonesia,4,00:23:32,00:28:03,00:25:35,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89017,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
511,227,Ahmad Rizki Fitriansah,01:44:36,AllAges,Male,372,Indonesia,4,00:25:28,00:26:46,00:26:09,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-88645,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
512,228,Rendy Haby Putra,01:46:54,AllAges,Male,373,Indonesia,4,00:24:54,00:28:27,00:26:43,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-88646,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
513,2418,Kimia Farma Kimia Farma,01:47:03,AllAges,Male,374,Indonesia,3,00:19:57,01:03:59,00:35:41,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89108,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
514,212,David Aryadi,00:36:25,AllAges,Male,375,Indonesia,2,00:18:02,00:18:23,00:18:12,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-88630,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
515,2539,I Kadek Heryawan,01:50:02,AllAges,Male,376,Indonesia,2,00:23:04,01:26:57,00:55:01,Run Til You Drop 5,https://images.racetec.net/results/racelogo/19723/19723_50.jpg,2 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-50-2-89229,http://results.scorenow.co.id/results.aspx?CId=19723&RId=50
