Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,KM 5,KM 10,KM 15,KM 18,"KM 21,1",KM 25,KM 30,KM 35,"KM 40,8",Finish,race_name,race_large_logo,race_category,runner_id,race_link
951,B11387,Cahyo Setiawan,05:54:38,National,506,Male,852,Indonesia,00:01:22,00:34:26,00:33:20,00:36:10,00:22:03,00:26:28,00:36:30,00:47:04,00:47:58,00:54:50,00:14:22,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199693,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
952,C11302,Achmad Sueb,05:54:40,Master,328,Male,853,Indonesia,00:00:28,00:33:45,00:31:22,00:34:56,00:22:39,00:26:20,00:35:28,00:49:38,00:51:40,00:55:09,00:13:08,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199608,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
953,C10367,Kang Aceng Ronny Kangaran,05:54:46,Master,329,Male,854,Indonesia,00:00:39,00:35:17,00:34:52,00:35:30,00:22:10,00:23:15,00:31:39,00:45:37,00:47:47,00:59:28,00:18:28,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198673,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
954,C10467,Sulis,05:54:48,Master,330,Male,855,Indonesia,00:00:13,00:35:11,00:35:11,00:35:30,00:21:27,00:22:01,00:37:45,00:47:28,00:52:45,00:55:00,00:12:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198773,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
955,B10032,Deyan Muhammad Aji,05:54:55,National,507,Male,856,Indonesia,00:00:50,00:35:24,00:34:34,00:36:44,00:22:26,00:25:40,00:34:29,00:46:22,00:52:01,00:53:18,00:13:01,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198338,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
956,F10469,Marhaeni Fajar Suryani,05:54:56,Master,50,Female,100,Indonesia,00:01:11,00:36:45,00:37:07,00:39:26,00:26:31,00:31:09,00:37:10,00:44:42,00:42:33,00:46:10,00:12:08,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198775,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
957,B10665,Aulya Rahman,05:54:58,National,508,Male,857,Indonesia,00:00:42,00:33:19,00:30:46,00:31:53,00:25:30,00:32:56,00:28:28,00:38:36,00:48:12,01:06:43,00:17:47,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198971,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
958,C10746,Willy Jean,05:54:58,Master,331,Male,858,Indonesia,00:01:42,00:37:32,00:33:34,00:38:29,00:24:41,00:25:37,00:35:04,00:46:11,00:48:26,00:50:14,00:13:24,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199052,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
959,C10500,Erick,05:55:06,Master,332,Male,859,Indonesia,00:00:30,00:37:43,00:32:33,00:35:32,00:23:18,00:26:16,00:34:43,00:47:49,00:47:51,00:54:33,00:14:13,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198806,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
960,F10926,Denyhesti,05:55:11,Master,51,Female,101,Indonesia,00:01:20,00:36:05,00:35:14,00:37:45,00:22:47,00:25:10,00:34:18,00:48:16,00:48:22,00:53:43,00:12:07,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199232,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
961,C10109,Yuli Indrawan,05:55:13,Master,333,Male,860,Indonesia,00:01:14,00:36:19,00:35:38,00:38:03,00:27:06,00:26:49,00:34:18,00:46:34,00:49:15,00:48:04,00:11:48,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198415,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
962,B10277,R Hidayat,05:55:15,National,509,Male,861,Indonesia,00:01:39,00:37:04,00:34:52,00:38:11,00:23:16,00:28:42,00:31:49,00:46:55,00:49:22,00:51:08,00:12:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198583,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
963,E11242,Ratna Ami Hidayanti,05:55:17,National,40,Female,102,Indonesia,00:00:42,00:39:27,00:39:09,00:40:33,00:25:08,00:26:27,00:36:05,00:46:25,00:42:26,00:46:26,00:12:23,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199548,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
964,C11066,Danny Ardianto,05:55:20,Master,334,Male,862,Indonesia,00:00:33,00:45:15,00:41:16,,02:33:34,00:26:29,00:33:03,00:42:11,00:42:32,00:44:58,00:12:29,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199372,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
965,B10400,David Hendra,05:55:24,National,510,Male,863,Indonesia,00:00:53,00:35:02,00:33:52,00:36:39,00:24:22,00:26:03,00:36:05,00:49:25,00:48:35,00:50:45,00:13:36,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198706,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
966,C10971,Nathan Suhendra,05:55:25,Master,335,Male,864,Indonesia,00:01:16,00:37:49,00:33:10,00:37:46,00:25:27,00:26:00,00:38:35,00:44:30,00:46:22,00:52:08,00:12:17,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199277,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
967,B11151,Habiburachman,05:55:25,National,511,Male,865,Indonesia,00:01:16,00:37:49,00:33:10,00:37:46,00:25:26,00:26:01,00:38:31,00:43:55,00:47:01,00:52:06,00:12:17,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199457,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
