Pos,Race No,Name,Time,Net Time,Gender,Gen Pos,Team,race_name,race_large_logo,race_category,runner_id,race_link
74,348,Gunadi Sudrajat,05:48:20,05:45:07,Male,70,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11338,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
75,865,Johan Van Vuuren,05:49:41,05:45:55,Male,71,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11600,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
76,420,Abdullah Bachmid,05:50:15,05:46:55,Male,72,4 Ice Tribe,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11403,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
77,418,Ahmad Helmy,05:50:18,05:46:43,Male,73,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11402,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
78,496,Roviq Hidayat,05:50:19,05:46:47,Male,74,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11450,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
79,851,Lalu Miftahul Ulum,06:00:07,05:56:19,Male,75,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11586,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
80,383,Mohd Rosli,06:17:25,06:14:11,Male,76,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11370,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
81,276,Agung Pambudi,06:24:13,06:21:43,Male,77,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11279,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
82,107,Carolina Betty,06:24:17,06:21:51,Female,5,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11115,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
83,105,Arthur Clemens,06:26:15,06:23:48,Male,78,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11113,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
