Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
37,I96,TOBIAS GARRITT,01:37:04,I (MEN 31 - 40),9,Male,30,Indonesia,,00:40:11,00:35:54,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10937,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
38,L119,TRI YULIANTI SAVITRI,01:37:43,L (WOMEN 41 thn ke atas),2,Female,8,Indonesia,00:12:14,00:44:15,00:34:55,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
39,K98,OKI NARTADI,01:39:48,K (MEN 41 thn ke atas),6,Male,31,Indonesia,00:16:31,00:41:58,00:34:09,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10939,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
40,128,MARLIANA MARLIANA,01:40:51,J (WOMEN 31 - 40),2,Female,9,Indonesia,00:12:59,00:44:27,00:38:56,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10969,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
41,K105,TEDDY DANAS,01:42:07,K (MEN 41 thn ke atas),7,Male,32,Indonesia,00:18:00,00:45:48,00:30:35,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10946,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
42,125,LUCKY HADARI,01:48:32,I (MEN 31 - 40),10,Male,33,Indonesia,00:17:49,00:41:57,00:38:03,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10966,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
43,K104,EKA YULIANDA ENANI PUTRA,01:49:43,K (MEN 41 thn ke atas),8,Male,34,Indonesia,00:18:01,00:46:35,00:37:32,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10945,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
44,K107,AVIV MURTADHO,01:55:08,K (MEN 41 thn ke atas),9,Male,35,Indonesia,00:28:04,00:43:08,00:35:43,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10948,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
45,G73,TIMOTHY JAYSEN,01:55:23,G (MEN 30 thn ke bawah),12,Male,36,Indonesia,00:16:46,00:48:02,00:43:06,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10914,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
46,I90,MAULANA SAMANTHA,01:58:55,I (MEN 31 - 40),11,Male,37,Indonesia,00:13:26,00:52:23,00:46:50,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10931,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
47,H110,NAURA NADIRA AZZAHRA,01:59:14,H (WOMEN 30 thn ke bawah),1,Female,10,Indonesia,00:17:59,00:52:25,00:43:35,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10951,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
48,K102,MUHAMMAD FARHAN,02:00:03,K (MEN 41 thn ke atas),10,Male,38,Indonesia,00:16:57,00:45:29,00:48:06,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10943,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
49,G72,MATTHEW WILEY,02:07:10,G (MEN 30 thn ke bawah),13,Male,39,Indonesia,00:16:46,00:54:09,00:49:29,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10913,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
50,131,ARSIYANTI ARDIE,02:09:20,L (WOMEN 41 thn ke atas),3,Female,11,United States,00:12:52,00:51:33,00:57:01,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_14.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-14-2-10972,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14
