Pos,Race No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Country,Finish,race_name,race_large_logo,race_category,runner_id,race_link
101,10160,Aderiza Brahmana,05:03:05,05:01:54,ALL AGES,92,Male,92,,05:03:05,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-66959,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
102,10726,Abdul Kamid,05:03:21,05:01:20,ALL AGES,93,Male,93,,05:03:21,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67525,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
103,10829,Agnes Yuliavitriani,05:04:40,05:03:29,ALL AGES,10,Female,10,,05:04:40,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67628,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
104,10386,Asti Maharani,05:04:52,05:03:09,ALL AGES,11,Female,11,,05:04:52,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67185,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
105,10455,Gusrial Amran,05:05:03,05:04:26,ALL AGES,94,Male,94,,05:05:03,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67254,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
106,10503,Tulus Sundawa Prasetio,05:05:06,05:04:23,ALL AGES,95,Male,95,,05:05:06,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67302,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
107,10378,Slamet Widada,05:05:11,05:03:44,ALL AGES,96,Male,96,,05:05:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67177,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
108,10158,Maya Mariany,05:05:11,05:03:45,ALL AGES,12,Female,12,,05:05:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-66957,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
109,10328,Jon Desrizal,05:05:37,05:05:00,ALL AGES,97,Male,97,,05:05:37,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67127,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
110,10827,Mario Josef Effendy,05:05:57,05:04:53,ALL AGES,98,Male,98,,05:05:57,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67626,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
111,10034,Andi Hartono,05:06:41,05:06:34,ALL AGES,99,Male,99,,05:06:41,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-66833,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
112,10784,Dadang Mokhamad Rizal,05:07:15,05:05:21,ALL AGES,100,Male,100,,05:07:15,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67583,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
113,10813,Devi Erizal,05:07:41,05:07:31,ALL AGES,101,Male,101,,05:07:41,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67612,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
114,10024,Joni Soegianto,05:07:53,05:06:54,ALL AGES,102,Male,102,,05:07:53,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-66823,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
115,10459,Michel Groesbeek,05:07:58,05:07:51,ALL AGES,103,Male,103,,05:07:58,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67258,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
116,10843,Firmansyah,05:07:59,05:06:51,ALL AGES,104,Male,104,,05:07:59,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67642,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
117,10247,Fredy Tasijawa,05:08:48,05:08:10,ALL AGES,105,Male,105,,05:08:48,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_41.jpg,Marathon Open,http://results.scorenow.co.id/myresults.aspx?uid=19723-41-2-67046,http://results.scorenow.co.id/results.aspx?CId=19723&RId=41
