Pos,Race No,Name,Time,Gender,Gen Pos,"CP 1 - KM 2,17",Finish,race_name,race_large_logo,race_category,runner_id,race_link
51,10171,Dicky Anggoro,01:06:25,Male,43,00:13:13,00:53:05,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184760,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
52,10157,ZERIZAL ZERIZAL,01:06:25,Male,44,00:13:13,00:53:05,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184746,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
53,10031,GANDHI KUSUMA PUTRA,01:06:26,Male,45,00:12:42,00:53:42,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184620,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
54,10047,Filing Filing,01:06:41,Female,5,00:14:29,00:51:55,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184636,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
55,10193,Dwi Kuncoro,01:06:55,Male,46,00:12:41,00:53:54,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184782,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
56,10042,Leny Ridwan,01:06:55,Female,6,00:13:16,00:53:38,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184631,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
57,10183,Reni Novianti,01:06:56,Female,7,00:13:53,00:52:57,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184772,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
58,10208,Nelvi Widyana,01:06:59,Female,8,00:14:43,00:52:14,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184797,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
59,10184,Bahrul Adi Pangayoman,01:07:06,Male,47,00:13:00,00:54:03,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184773,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
60,10034,Silahudin Al Ayubi,01:07:10,Male,48,00:10:14,00:47:31,Palembang Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_136.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-136-2-184623,http://results.scorenow.co.id/results.aspx?CId=19723&RId=136
