Pos,Race No,Name,Time,Gender,Gen Pos,Start,Checkpoint 1 - Km 7,"Checkpoint 2 - Km 14,35","Checkpoint 3 - Km 18,5","Checkpoint 4 - Km 20,65",Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
1,3379,Jufri,01:28:16,Male,1,00:00:00,00:28:35,00:27:53,00:18:05,00:10:56,00:02:44,4:08 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197068,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
2,3417,Yudi Dile,01:29:46,Male,2,00:00:00,00:28:33,00:27:45,00:18:21,00:11:58,00:03:07,4:12 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197106,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
3,3369,I Putu Agus Supratman,01:34:43,Male,3,00:00:01,00:30:24,00:29:20,00:19:56,00:11:52,00:03:08,4:26 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197058,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
4,3391,Rahman Maudup,01:37:02,Male,4,00:00:02,00:29:29,00:30:07,00:20:24,00:13:14,00:03:44,4:33 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197080,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
5,3336,Suparman Gailea,01:38:27,Male,5,00:00:00,00:32:55,00:29:40,00:20:46,00:12:12,00:02:52,4:37 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197025,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
6,3370,Idris Lasiso,01:38:44,Male,6,00:00:00,00:32:16,00:31:30,00:20:11,00:11:50,00:02:56,4:38 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197059,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
7,3343,Amos Yaverson Dile,01:39:51,Male,7,00:00:05,00:32:02,00:31:04,00:20:39,00:12:47,00:03:12,4:41 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197032,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
8,3363,Ghufran Hidayat,01:41:41,Male,8,00:00:00,00:30:08,00:30:16,00:22:23,00:14:30,00:04:23,4:46 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197052,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
9,3380,Lasani L Dini,01:44:03,Male,9,00:00:01,00:33:00,00:32:17,00:22:26,00:12:43,00:03:34,4:53 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197069,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
10,3395,Ristiawan Amd,01:49:54,Male,10,00:00:18,00:37:26,00:33:51,00:21:46,00:13:18,00:03:12,5:09 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197084,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
