Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,KM 5,KM 10,KM 15,KM 18,"KM 21,1",KM 25,KM 30,KM 35,"KM 40,8",Finish,race_name,race_large_logo,race_category,runner_id,race_link
401,C10701,Antonius Pungkas Gladi,04:52:48,Master,116,Male,369,Indonesia,00:00:17,00:31:17,00:30:22,00:30:36,00:18:49,00:19:45,00:27:26,00:36:56,00:39:01,00:46:25,00:11:48,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199007,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
402,F10825,Mia Ningsih,04:52:50,Master,10,Female,33,Indonesia,00:00:39,00:34:41,00:33:01,00:34:46,00:20:46,00:21:14,00:27:24,00:35:53,00:34:50,00:39:04,00:10:26,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199131,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
403,C10127,Rudi Hartono,04:52:53,Master,117,Male,370,Indonesia,00:00:54,00:28:31,00:28:44,00:30:11,00:19:10,00:20:42,00:30:59,00:37:51,00:42:34,00:42:04,00:11:09,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198433,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
404,B11236,Ikbal Danu Setiawan,04:52:57,National,239,Male,371,Indonesia,00:00:29,00:32:03,00:31:02,00:31:35,00:19:43,00:21:43,00:27:35,00:36:23,00:38:19,00:42:41,00:11:20,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199542,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
405,C10595,Achmad Ismail,04:53:02,Master,118,Male,372,Indonesia,00:00:30,00:31:48,00:27:48,00:29:50,00:18:18,00:19:16,00:27:49,00:37:45,00:40:08,00:47:51,00:11:54,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198901,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
406,B10633,Suwandi,04:53:15,National,240,Male,373,Indonesia,00:00:08,00:31:51,00:31:30,00:27:41,00:18:53,00:23:44,00:30:02,00:41:00,00:35:57,00:41:35,00:10:48,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198939,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
407,C10674,Supardin,04:53:25,Master,119,Male,374,Indonesia,00:01:05,00:34:14,00:32:11,00:31:43,00:19:03,00:19:38,00:25:33,00:32:52,00:35:24,00:49:46,00:11:52,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198980,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
408,B10626,Bimo Primantio,04:53:40,National,241,Male,375,Indonesia,00:01:00,00:32:12,00:29:00,00:30:29,00:18:33,00:21:09,00:26:53,00:38:10,00:42:48,00:43:25,00:09:56,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198932,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
409,C10606,Budiyanto Togi Marpaung,04:54:05,Master,120,Male,376,Indonesia,00:00:07,00:31:59,00:31:53,00:32:15,00:19:28,00:20:14,00:26:33,00:36:21,00:39:37,00:43:35,00:11:56,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198912,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
410,C10345,Tan Cun Seng,04:54:47,Master,121,Male,377,Indonesia,00:01:46,00:35:14,00:32:59,00:33:28,00:20:13,00:21:33,00:26:38,00:35:58,00:36:55,00:38:55,00:11:01,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198651,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
