Pos,Race No,Last Name,Time,Runner 1,Runner 2,Runner 3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
1,163,CHEETAH,00:34:38,FERI,K HONDA,KADRIN,KAMARUDIN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92079,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
2,302,YAMAMOTO MONAS EXTREME,00:35:17,MICHIO YONEDA,AKIHIDE ANDO,SUGIAN,KENICHI ITO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92214,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
3,158,TOYOTA 1,00:36:01,SEPTYAN RACHMAN,KEIJIRO INADA,NASHRUDIN ROBBANI,HERI MUHAMAD,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92074,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
4,35,SUMITOMO FORESTRY GROUP KTI TEAM1,00:37:52,SHUHEI NISHI,DEDY YUSUP,NURHAMIDUR,DEDI KURNIAWAN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-91951,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
5,303,YAMAMOTO MONAS CRAZY,00:37:58,SHOTA MARUYAMA,RYANDRA,SOUTA HARA,TAKASHI YAMAZAKI,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92215,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
6,165,JAGUAR,00:38:41,AMBAR,K FUNAKI,IRVAN,SURONO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92081,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
7,159,TOYOTA 2,00:38:55,YOHAN ARDIANSYAH,KEN NAGATA,UMARYOTO,IWAN ADI NUGROHO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92075,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
8,304,YAMAMOTO MONAS BRILLIANT,00:39:27,HIDEO MINOWA,MAMORU WATANABE,RUSTAMAN,YUICHI ASAOKA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92216,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
9,204,SUMITOMO 1,00:40:05,SHUNTARO TAJIMA,NAOYUKI HOSHIDA,SHOTARO ICHIKAWA,NGATIMIN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92116,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
10,98,PESGMFID 2,00:40:27,ALI PRAMUJA,XU TIANG XUAN,DICKY AULIA,WAKHIDIN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92014,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
