Pos,Race No,Last Name,Time,Runner 1,Runner 2,Runner 3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
391,581,NAGASE INDONESIA,01:09:56,EIJI OTA,SATRIO DWI APRIONO,BERKAT HUTAJULU,FELICIANA APRILIA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92493,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
392,93,OBAYASHI 7,01:09:58,NAKAMURA,SAKURA,RINO,BAYU,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92009,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
393,440,NITTOC 4,01:10:02,NAKAJIMA,AFDA,DEDY,DEPRIL,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92352,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
394,377,MMKI 3,01:10:06,UMEZAWA TSUBASA,REZA SAPUTRA,SANDRA TRI DESTIANTI,DEWI RATIH ANNISA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92289,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
395,392,MMKI 14,01:10:06,FREDERICK T PARLINDUNGAN,SINGGIH ADITIA PUTRA,RUTH YULIANA PALUPI,YABUNO RYOSUKE,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92304,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
396,86,MC 15,01:10:07,ALIF,AGENG SAPUTRO,AHMAD MUSTAQIIM,KYOHEI YUGETA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92002,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
397,50,TOKYU 7,01:10:08,MR HIROFUMI HOMBO,SAHARA,SHERWIN,YUSNICK,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-91966,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
398,248,PTMI 10,01:10:15,TAICHI NAKAMURA,CHRISTOPHER,ALDILA AYUNINGTYAS,HARYANTO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92160,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
399,385,MMKI 11,01:10:21,BASKARA AJI,IKA SRI HASTUTI,FAJAR SEPTIANSYAH,TAKESHI YODA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92297,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
400,398,TMEIC01,01:10:23,SHERLY SEPTIRANI,DARMA SAMWIJAYA,RIZQY,MASARU YAMAMOTO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92310,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
