Pos,Race No,Name,Time,Gender,Gen Pos,Country,CP1 - KM,Finish,race_name,race_large_logo,race_category,runner_id,race_link
551,609,Ni Putu Ariyasti,01:15:49,Female,126,Indonesia,,01:15:49,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186492,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
552,590,Ni Wayan Nensi Suyanti,01:15:49,Female,127,Indonesia,,01:15:49,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186473,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
553,574,Ratna Iswari,01:16:00,Female,128,Indonesia,00:32:39,00:41:32,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186457,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
554,586,Dewa Nara,01:16:00,Male,419,Indonesia,00:32:33,00:41:37,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186469,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
555,345,ANAK AGUNG ANOM ARDANATA,01:16:08,Male,420,Indonesia,00:33:26,00:41:11,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186229,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
556,963,BJP Drs Isnaeni Ujiarto MSi,01:16:10,Male,421,Indonesia,00:32:23,00:43:43,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186846,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
557,550,TERY ZAKIAR MUSLIM,01:16:14,Male,422,Indonesia,00:32:30,00:42:50,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186433,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
558,545,Rahmad Waluyo Jati,01:16:16,Male,423,Indonesia,00:32:10,00:41:58,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186428,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
559,46,Kadek Ana Dwijayanti,01:16:17,Female,129,Indonesia,00:32:53,00:42:28,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-185934,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
560,110,Lussiyana,01:16:35,Female,130,Indonesia,00:31:55,00:44:30,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-185998,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
561,157,I Putu Arya Adi Putra,01:16:47,Male,424,Indonesia,00:31:37,00:44:25,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186045,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
562,160,Bagus Jelantik,01:16:47,Male,425,Indonesia,00:31:59,00:44:11,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186048,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
563,180,Ketut Putra Wijaya,01:16:48,Male,426,Indonesia,00:31:46,00:44:17,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186068,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
564,307,putu indah virmayanti,01:16:49,Female,131,Indonesia,00:32:01,00:44:12,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186194,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
565,409,Owen Kent Ferguson,01:16:50,Male,427,Indonesia,00:34:52,00:41:41,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186292,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
566,148,Jonathan Putra Yudhakusuma Tampi,01:16:50,Male,428,Indonesia,00:32:32,00:44:01,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186036,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
567,149,Conny Puspitari Tampi,01:16:51,Female,132,Indonesia,00:32:33,00:44:01,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186037,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
568,432,DIMASTA PRIMA TAMTAMA,01:17:10,Male,429,Indonesia,00:33:25,00:43:06,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186315,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
569,199,aditia widiawan,01:17:11,Male,430,Indonesia,00:32:13,00:43:53,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186087,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
570,977,Ida Bagus Darma Yudha,01:17:18,Male,431,Indonesia,00:32:32,00:44:38,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186860,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
571,975,I Wayan Sumiartha,01:17:19,Male,432,Indonesia,00:32:32,00:44:38,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186858,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
572,413,Sri Wahyuningsih,01:17:35,Female,133,Indonesia,00:31:43,00:45:50,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186296,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
573,158,Wiwin Herwina Wina,01:17:40,Female,134,Indonesia,00:30:42,00:45:22,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186046,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
574,8,Aulia Mursalini,01:17:41,Female,135,Indonesia,00:33:37,00:43:00,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-185896,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
575,17,Wahyu Utomo,01:17:43,Male,433,Indonesia,00:33:36,00:42:59,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-185905,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
576,153,Rikhi Madya Puspita,01:17:44,Female,136,Indonesia,00:32:32,00:43:33,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186041,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
577,121,I Made Muliadi,01:17:57,Male,434,Indonesia,00:32:07,00:45:36,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186009,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
578,244,Pradipa Yogyartha,01:18:05,Male,435,Indonesia,00:32:55,00:44:48,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-186132,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
579,21,Cokorda Istri Mas DS,01:18:05,Female,137,Indonesia,00:33:24,00:44:21,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-185909,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
580,101,Citarasmini,01:18:14,Female,138,Indonesia,00:34:33,00:43:07,BNN Run,https://images.racetec.net/results/racelogo/19723/19723_139.JPG,8K,http://results.scorenow.co.id/myresults.aspx?uid=19723-139-1-185989,http://results.scorenow.co.id/results.aspx?CId=19723&RId=139
