Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,"CP 1 - KM 3,5","CP 2 - KM 8,02",Finish,race_name,race_large_logo,race_category,runner_id,race_link
201,G1518,Deny Wahyu Purwandaru,01:05:30,Open,112,Male,177,Indonesia,00:00:13,00:24:37,00:29:29,00:11:10,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5471,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
202,J1368,Fitria Primasari,01:05:42,Open,10,Female,25,Indonesia,00:00:01,00:22:28,00:30:22,00:12:50,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5321,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
203,1730,Bona Ventura,01:05:44,Open,9,Female,26,Indonesia,00:00:03,00:22:23,00:30:18,00:12:59,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5683,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
204,J1623,Debora Purwono,01:05:55,Open,11,Female,27,Indonesia,00:00:12,00:23:19,00:30:28,00:11:54,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5576,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
205,G1110,Ega Aji Prasetyo,01:05:57,Open,113,Male,178,Indonesia,00:00:36,00:22:46,00:30:00,00:12:33,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5063,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
206,G1075,Asep Hidayat,01:05:58,Open,117,Male,179,Indonesia,00:00:18,00:23:16,00:30:23,00:11:59,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5028,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
207,H1079,TRI HARMADI,01:06:00,Master 40,48,Male,180,Indonesia,00:00:15,00:23:14,00:30:30,00:12:00,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5032,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
208,H1155,Deon Joubert,01:06:04,Master 40,49,Male,181,Indonesia,00:00:03,00:21:24,00:31:30,00:13:06,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5108,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
209,G1462,Tubagus Enjat Hidayatullah,01:06:05,Open,118,Male,182,Indonesia,00:00:18,00:25:07,00:29:03,00:11:35,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5415,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
210,G1435,ALI MUSTHOFIIN,01:06:10,Open,120,Male,183,Indonesia,00:00:03,00:22:16,00:31:36,00:12:15,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5388,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
211,H1527,Dwi Setyoko,01:06:16,Master 40,51,Male,184,Indonesia,00:00:05,00:23:00,00:30:09,00:13:00,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5480,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
212,H1625,Prasetyo Ady Nugroho,01:06:16,Master 40,50,Male,185,Indonesia,00:00:06,00:22:27,00:30:02,00:13:40,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5578,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
213,K1244,ulfiyatus saadah,01:06:20,Master 40,13,Female,28,Indonesia,00:00:01,00:22:48,00:30:34,00:12:56,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5197,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
214,1798,Rony Syaifudhin,01:06:24,Open,121,Male,186,Indonesia,00:00:03,00:22:39,00:31:24,00:12:16,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5751,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
215,H1093,Pudji Rahardjo,01:06:29,Master 40,52,Male,187,Indonesia,00:00:04,00:23:00,00:30:15,00:13:08,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5046,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
216,G1454,Anton Salim,01:06:40,Open,123,Male,188,Indonesia,00:00:13,00:23:35,00:30:13,00:12:36,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5407,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
217,1845,muhammad sukir,01:06:45,Open,124,Male,189,Indonesia,00:00:14,00:23:07,00:30:42,00:12:39,SHA Run For Solo,https://images.racetec.net/results/racelogo/19723/19723_146.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-146-2-5798,http://results.scorenow.co.id/results.aspx?CId=19723&RId=146
