Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,CP 1 - KM 4,Pace,CP 2 - KM 8,Pace,Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
1,M4832,SYAMSUDDIN MASSA,00:32:35.467,Top 3 10K,1,Male,1,00:13:13.097,3:18 min/km,00:12:38.260,3:13 min/km,00:06:44.110,3:15 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151697,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
2,M5300,IRMANSAH IRMANSAH,00:32:57.807,Top 3 10K,2,Male,2,00:13:13.503,3:18 min/km,00:12:45.657,3:14 min/km,00:06:58.647,3:17 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152156,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
3,M4675,RASHIF AMILA YAQIN,00:35:43.417,Top 3 10K,3,Male,3,00:14:08.053,3:32 min/km,00:14:05.587,3:31 min/km,00:07:29.777,3:34 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151540,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
4,M4316,GYANLIUCA LAPICARA DHAYARTHA,00:36:20.620,Top 3 10K National,1,Male,4,00:14:20.393,3:35 min/km,00:13:52.563,3:31 min/km,00:08:07.663,3:38 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151181,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
5,M4743,MUHAMMAD SYIFA JAGADNATA,00:37:37.037,Top 3 10K National,2,Male,5,00:14:17.737,3:34 min/km,00:14:57.763,3:39 min/km,00:08:20.870,3:45 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151608,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
6,M4678,DEON PARERA,00:38:10.117,Top 3 10K National,3,Male,6,00:14:41.850,3:40 min/km,00:15:03.933,3:43 min/km,00:08:24.333,3:49 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151543,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
7,P4586,BEKTININGSIH PRIMADIANFITRI,00:41:12.337,Top 3 10K,1,Female,1,00:16:16.923,4:04 min/km,00:15:48.670,4:00 min/km,00:09:06.743,4:07 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151451,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
8,M5014,RASYID ABYAN,00:41:44.680,NATIONAL,1,Male,7,00:15:56.560,3:59 min/km,00:16:36.893,4:04 min/km,00:09:11.227,4:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151879,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
9,P4566,ZAHRA BULAN APRILLIA PUTRI,00:42:42.630,Top 3 10K,2,Female,2,00:16:17.157,4:04 min/km,00:16:33.577,4:06 min/km,00:09:51.897,4:16 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151431,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
10,M4141,BADAI GIRI,00:43:39.750,NATIONAL,2,Male,8,00:17:01.437,4:15 min/km,00:17:15.133,4:17 min/km,00:09:23.180,4:21 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151006,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
11,M4614,DIMAS PRA ITANA,00:44:23.640,NATIONAL,3,Male,9,00:17:02.393,4:18 min/km,00:17:18.213,4:19 min/km,00:09:50.770,4:26 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151479,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
12,M5011,YUSUF THOYIB ABDULLOH,00:45:27.723,NATIONAL,4,Male,10,00:17:42.363,4:25 min/km,00:17:58.330,4:27 min/km,00:09:47.030,4:32 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151876,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
13,M4412,IWAN SETIAWAN,00:45:34.000,NATIONAL,5,Male,11,00:18:22.160,4:35 min/km,00:18:00.067,4:32 min/km,00:09:11.773,4:33 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151277,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
14,M4989,HANGGA ADY,00:46:16.157,NATIONAL,6,Male,12,00:18:27.483,4:37 min/km,00:17:57.397,4:33 min/km,00:09:50.550,4:37 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151854,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
15,M4520,RONAN GERALDO SUTANTIO,00:47:20.577,NATIONAL,7,Male,13,00:18:37.360,4:39 min/km,00:18:38.090,4:39 min/km,00:10:03.523,4:44 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151385,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
16,M4522,ROBBY SUTANTIO,00:47:55.610,NATIONAL,8,Male,14,00:18:38.253,4:39 min/km,00:18:49.533,4:40 min/km,00:10:27.823,4:47 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151387,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
17,M5305,EKO BUDIANTO,00:48:45.733,NATIONAL,9,Male,15,00:19:03.203,4:45 min/km,00:19:19.750,4:47 min/km,00:10:22.780,4:52 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152161,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
