Pos,Race No,Name,Time,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,1223,Wahyu Indra Kurniawan,00:45:25,Male,1,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91608,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
2,1284,Nanda Wahyu,00:46:48,Male,2,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91669,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
3,1301,Mike Lucero,00:47:25,Male,3,United States,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91686,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
4,801,A Choirul Huda,00:51:21,Male,4,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91186,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
5,829,Agus Juprit,00:54:26,Male,5,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91214,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
6,1147,Rifa Arim Maulana,00:54:26,Male,6,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91532,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
7,1045,Ligo Mulafi,00:56:39,Male,7,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91430,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
8,1233,Wisnu Mahendra,00:57:05,Male,8,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91618,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
9,906,Colin Welter,00:57:32,Male,9,United States,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91291,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
10,910,Dani Ardana,00:58:24,Male,10,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91295,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
11,1158,Rufina Guteri Ganggus,00:58:30,Female,1,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91543,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
12,823,Agung Nur Permana,00:59:58,Male,11,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91208,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
13,1096,Muhammad Rizal Najibu Khoir,01:00:09,Male,12,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91481,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
14,1302,Abd khamid Kensena khamid Kensena,01:00:55,Male,13,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91687,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
15,1033,Krisna Dwi Pramana,01:02:18,Male,14,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91418,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
16,1055,Luwung Sindunata,01:02:36,Female,2,Indonesia,Bromo Marathon,https://images.racetec.net/results/racelogo/19723/19723_61.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-61-3-91440,http://results.scorenow.co.id/results.aspx?CId=19723&RId=61
