Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Start,"CP 1 KM 0,350","CP 2 KM 2,5",Finish,race_name,race_large_logo,race_category,runner_id,race_link
851,F 5978,Hana Kristiyani,00:48:29,Female,342,Indonesia,00:00:31,00:03:09,00:20:11,00:24:36,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195473,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
852,M 5585,Hari Kusdaryanto,00:48:29,Male,467,Indonesia,00:01:51,00:03:13,00:19:20,00:24:04,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195080,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
853,F 6105,Ria Dyah,00:48:30,Female,343,Indonesia,00:00:55,00:03:08,00:20:45,00:23:40,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195600,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
854,F 6038,Yolanda Amzi Bandari,00:48:30,Female,344,Indonesia,00:00:02,00:02:32,00:20:33,00:25:21,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195533,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
855,M 6104,Helmy Agusta,00:48:30,Male,468,Indonesia,00:00:55,00:03:10,00:20:41,00:23:43,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195599,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
856,F 5653,Zuhannisa Z,00:48:32,Female,345,Indonesia,00:00:15,00:02:59,00:20:35,00:24:42,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195148,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
857,F 6141,Lewi Camelia,00:48:33,Female,346,Indonesia,00:00:00,00:02:27,00:19:34,00:26:30,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195636,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
858,F 5057,Irbahani Samirna,00:48:34,Female,347,Indonesia,00:00:08,00:02:37,00:21:16,00:24:31,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-194552,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
859,F 5312,Risa Pramesti,00:48:36,Female,348,Indonesia,00:00:06,00:03:22,00:20:38,00:24:28,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-194807,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
860,F 5324,Mellisa Kasopa,00:48:38,Female,349,Indonesia,00:02:13,,00:24:55,00:23:42,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-194819,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
861,M 5706,Pintoko Ade Septiawan,00:48:40,Male,469,Indonesia,00:01:32,00:02:55,00:20:28,00:23:42,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195201,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
862,F 5517,krisdianthy,00:48:42,Female,350,Indonesia,00:01:07,00:03:02,00:20:20,00:24:12,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195012,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
863,F 5881,Friscilla Angger,00:48:43,Female,351,Indonesia,00:01:09,00:02:56,00:20:24,00:24:13,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195376,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
864,F 5175,Amalia Paravoti,00:48:43,Female,352,Indonesia,00:01:14,00:03:09,00:20:28,00:23:51,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-194670,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
865,M 5132,Christian Ade Kurniawan,00:48:45,Male,470,Indonesia,00:01:46,00:03:17,00:21:04,00:22:37,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-194627,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
866,F 5928,Vina Marlianti,00:48:48,Female,353,Indonesia,00:02:03,00:03:19,00:18:47,00:24:38,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195423,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
867,F 5229,Dina Adrianingtiyas,00:48:49,Female,354,Indonesia,00:00:22,00:02:45,00:20:16,00:25:24,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-194724,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
868,F 5796,Fina SZ,00:48:49,Female,355,Indonesia,00:00:23,00:02:57,00:21:11,00:24:17,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195291,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
869,M 5130,mei joko,00:48:50,Male,471,Indonesia,00:01:01,,00:24:00,00:24:49,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-194625,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
870,M 5794,Rifqi Arridho Abid,00:48:50,Male,472,Indonesia,00:02:13,00:02:53,00:20:20,00:23:21,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195289,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
871,M 6034,RONI SH,00:48:52,Male,473,Indonesia,00:01:46,00:03:05,00:19:55,00:24:03,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195529,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
872,F 5791,Runia ningsih,00:48:52,Female,356,Indonesia,00:00:06,00:02:54,00:21:00,00:24:51,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195286,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
873,F 5640,Melanie Santosa,00:48:56,Female,357,Indonesia,00:01:15,00:03:11,00:21:34,00:22:54,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,5K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-2-195135,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
