Pos,Bib No,Name,Time,Gender,Gen Pos,CP 1 - KM 9.6,CP 2 - KM 13.65,CP 3 - KM 18.85,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,M1667,Robi Syianturi,01:07:02,Male,1,00:31:00,00:12:37,00:16:01,00:07:23,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170524,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
2,M1513,John Mburu,01:07:16,Male,2,00:31:00,00:12:37,00:16:08,00:07:29,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170370,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
3,M1466,Charles Munyua Njoki,01:07:18,Male,3,00:31:01,00:12:36,00:16:07,00:07:33,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170323,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
4,M1478,Elkanah Kimeli Arusey,01:07:44,Male,4,00:31:00,00:12:37,00:16:13,00:07:52,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170335,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
5,M1018,Samson Karega Kamau,01:12:30,Male,5,00:31:27,00:13:54,00:18:22,00:08:45,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-169875,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
6,M1527,Charles Kipkorir Kipsang,01:15:21,Male,6,00:32:00,00:14:45,00:19:25,00:09:09,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170384,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
7,M1358,Rikki M L S,01:17:16,Male,7,00:34:25,00:15:19,00:19:10,00:08:20,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170215,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
8,M1333,Septian Jaya,01:17:23,Male,8,00:36:05,00:14:35,00:18:15,00:08:26,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170190,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
9,F1476,Alyce Jeptoo Koech,01:20:03,Female,1,00:35:54,00:15:33,00:19:40,00:08:54,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170333,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
10,F1321,Odekta Naibaho,01:20:05,Female,2,00:35:53,00:15:34,00:19:40,00:08:57,Lazada Run Indonesia,https://images.racetec.net/results/racelogo/19723/19723_133.jpg,21K,http://results.scorenow.co.id/myresults.aspx?uid=19723-133-1-170178,http://results.scorenow.co.id/results.aspx?CId=19723&RId=133
