Pos,Race No,Last Name,Time,Runner 1,Runner 2,Runner 3,Runner 4,race_name,race_large_logo,race_category,runner_id,race_link
201,49,TOKYU 6,01:00:18,MR TAKASHI EMPUKU,MAULINA,MAKI,MEDWIN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-91965,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
202,150,PAPAYA TEAM 1 PARK,01:00:29,APRASIAN ISLAMI,NUR HIDAYAT,DARMAWAN,MAYUKO KOBAYASHI,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92066,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
203,107,PGI SALES MARKETING,01:00:34,KENSUKE MIYAJI,TEGUH DIAN,HIROMICHI HATTORI,ARI SUTARMAN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92023,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
204,482,MSIG 2,01:00:43,SETIA TAUPHAN HARIBAWA,AKITO HARUGUCHI,BERNARDUS WANANDI,JAJANG SEBASTIAN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92394,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
205,464,JETRO2,01:00:52,KEISHI SUZUKI,ERI HOJO,MARFUAH NINA,WATARU UENO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92376,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
206,233,ITOCHU II,01:00:52,KUMATA KENICHIRO,DELIZA MAIZURA,BRAMANIAN SURENDRO,DONNY,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92145,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
207,364,TOKIO MARINE INDONESIA 3,01:01:10,SIFA,KOBAYASHI,LUKMAN,IIDA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92276,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
208,356,SME AKIBA,01:01:11,TAKAYUKI FUJIKURA,MASATO KINOSHITA,MICHELLE,KENJI NIWA,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92268,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
209,387,MMKI 13,01:01:13,TOSHINORI SUZUKI,RIZQON UMI NADHRA,ANDIKA BAKTI W,FADLULLAH FATHULMUBIN,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92299,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
210,515,MISI ASEAN1 TAHU KIPAS,01:01:17,TAKAYASU GOTO,YUKI OTAKE,JONHS,HIKARIKO ONO,Jakarta Kizuna Ekiden,https://images.racetec.net/results/racelogo/19723/19723_64.jpg,Jakarta Kizuna Ekiden,http://results.scorenow.co.id/myresults.aspx?uid=19723-64-1-92427,http://results.scorenow.co.id/results.aspx?CId=19723&RId=64
