Pos,Bib No,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,G20417,Josphat Kiptanui Too,01:04:42,01:04:41,Open,1,Male,1,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28839,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
2,G20303,Barnaba Sigei,01:04:52,01:04:52,Open,2,Male,2,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28725,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
3,G20081,Joseph Mwangi Ngare,01:05:09,01:05:08,Open,3,Male,3,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28503,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
4,G20304,John Muiruri Mburu,01:06:58,01:06:57,Open,4,Male,4,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28726,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
5,G20364,Elkanah Arusey,01:10:23,01:10:23,Open,5,Male,5,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28786,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
6,J50160,Agus Prayogo,01:12:03,01:12:03,Closed,1,Male,6,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-32512,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
7,J50003,Nurshodiq,01:12:06,01:12:04,Closed,2,Male,7,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-32355,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
8,J50073,Difta Ibrula Gratia Unbanu,01:13:42,01:13:41,Closed,3,Male,8,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-32425,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
9,H20355,Rosemary Mumo Katua,01:13:46,01:13:45,Open,1,Female,1,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28777,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
10,J50273,Elisar Gamashi,01:14:19,01:14:17,Closed,4,Male,9,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-32625,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
11,J50725,Ari Swandana,01:14:23,01:14:21,Closed,5,Male,10,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-33077,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
12,J50063,Saiin A,01:14:43,01:14:42,Closed,6,Male,11,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-32415,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
13,J50810,Tribius Tauho,01:17:13,01:17:12,Closed,7,Male,12,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-33162,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
14,H20501,Kipsanai Naomi Jepkorir,01:18:09,01:18:09,Open,2,Female,2,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28923,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
15,G20473,Risqi Dwi Kurniawan,01:19:26,01:19:26,Open,6,Male,13,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28895,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
16,J50454,Nugroho,01:19:39,01:19:39,Closed,8,Male,14,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-32806,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
17,H20323,Too Mercy Jelimo,01:19:45,01:19:44,Open,3,Female,3,,Borobudur Marathon 2017,https://images.racetec.net/results/racelogo/19723/19723_21.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-21-2-28745,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21
