Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
32,221,Fandy Sugiarta Prakasa,01:15:31,MALE 25 - 29,3,Male,28,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87001,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
33,176,I Gusti Komang Murcayana,01:15:33,MALE 45 - 49,1,Male,29,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86956,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
34,111,Mahalia Pantja,01:15:35,FEMALE 40 - 44,1,Female,5,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86891,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
35,297,Hendra Ghifari,01:15:41,MALE 45 - 49,2,Male,30,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87077,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
36,184,Hadi Irawan,01:15:52,MALE 45 - 49,3,Male,31,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86964,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
37,218,Satria Wibawa,01:16:26,MALE 55 - 59,4,Male,32,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86998,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
38,180,I Made Ari Pramana,01:16:44,MALE 40 - 44,7,Male,33,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
39,217,Habibi M Tau,01:16:50,MALE 40 - 44,8,Male,34,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86997,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
40,210,Ade Yulianto,01:17:04,MALE 35 - 39,4,Male,35,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86990,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
41,169,Jaya Laksana,01:17:06,MALE 40 - 44,9,Male,36,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86949,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
42,202,Yudhi Setiawan,01:17:50,MALE 25 - 29,4,Male,37,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86982,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
43,194,Manoj Rawat,01:17:55,MALE 40 - 44,10,Male,38,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86974,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
44,241,Sixka Putra,01:18:02,MALE 35 - 39,5,Male,39,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87021,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
45,154,Eiso Van Der Post,01:18:36,MALE -18,4,Male,40,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86934,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
46,148,Scott Harrison,01:19:04,MALE 45 - 49,4,Male,41,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86928,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
47,298,Yonky Dickha Fardilla,01:19:19,MALE 25 - 29,5,Male,42,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87078,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
48,264,Freddy Hendradjaja,01:19:23,MALE 45 - 49,5,Male,43,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87044,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
49,223,Tony Black,01:19:58,MALE 35 - 39,6,Male,44,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-87003,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
50,167,Yudi Santosa Pangestu,01:20:02,MALE 45 - 49,6,Male,45,Indonesia,BCA Super League Triathlon,http://results.scorenow.co.id/Images/Clients/19723.png,AG Sprint Tri Individual,http://results.scorenow.co.id/myresults.aspx?uid=19723-141-1-86947,http://results.scorenow.co.id/results.aspx?CId=19723&RId=141
