Pos,Race No,Name,Time,Category,Cat Pos,Gender,CP1 - KM 1.5,CP2 - KM 10,CP3 - KM 16,Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,350,EDWIN YEBEI KIPTOO,01:10:06.403,Top 3 Open,1,Male,00:04:46.757,00:33:36.490,00:53:23.480,01:10:06.403,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223389,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
2,307,RIKKI MARTHIN LUTHER S,01:10:20.203,Top 3 Open,2,Male,00:04:47.820,00:33:37.393,00:53:24.690,01:10:20.203,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223346,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
3,415,BERNARD MWENDIA MUTHONI,01:10:47.513,Top 3 Open,3,Male,00:04:48.317,00:33:37.697,00:53:26.710,01:10:47.513,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223454,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
4,58,SYAMSUDDIN MASSA,01:11:36.373,Open,1,Male,00:04:46.610,00:33:50.900,00:53:51.707,01:11:36.373,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223097,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
5,492,SIMON ROTICH,01:13:02.100,Open,2,Male,00:04:47.300,00:33:49.647,00:53:46.043,01:13:02.100,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223531,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
6,91,ARDHIWIRAYUDA,01:15:29.133,Open,3,Male,00:04:45.327,00:34:50.480,00:55:53.333,01:15:29.133,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223130,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
7,224,MOH ISHARI,01:18:11.130,Master,1,Male,00:04:50.470,00:36:43.197,00:58:55.127,01:18:11.130,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223263,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
8,202,FAIZIN,01:18:11.277,Master,2,Male,00:04:51.000,00:36:42.827,00:58:56.070,01:18:11.277,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223241,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
9,348,SUTIKNO,01:20:01.530,Master,3,Male,00:04:50.857,00:36:41.893,00:59:13.130,01:20:01.530,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223387,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
10,483,CHRIS LUSI,01:24:22.793,Open,4,Male,00:05:20.163,00:39:39.500,01:03:16.640,01:24:22.793,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223522,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
11,223,SAIIN ALIM,01:26:03.123,Master,4,Male,00:04:52.310,00:38:57.953,01:03:39.750,01:26:03.123,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223262,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
12,164,BUDI CAHYONO,01:31:05.117,Master,5,Male,00:05:32.597,00:41:50.747,01:07:35.463,01:31:05.117,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223203,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
13,397,IVAN MARTINUS CANDRAWIDJAJA,01:32:21.040,Master,6,Male,00:05:41.993,00:42:20.833,01:08:16.060,01:32:21.040,Mangkunegaran Run In Solo 2024,https://images.racetec.net/results/racelogo/19723/19723_178.jpg,Half Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-178-1-223436,http://results.scorenow.co.id/results.aspx?CId=19723&RId=178
