Pos,Bib No,Name,Net Time,Category,Net Cat Pos,Second Cat,Gender,Country,"CP1 - KM 39,56","CP2 - KM 60,15","CP3 - KM 65,45","CP4 - KM 78,57",Finish Split Time,race_name,race_large_logo,race_category,runner_id,race_link
301,619,Fredy Santoso,05:25:44,M 35-39,68,,Male,Indonesia,01:14:49,00:44:23,00:35:25,00:48:42,02:02:24,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158088,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
302,642,David Brotorahardjo Santoso,05:26:06,M 40-44,43,,Male,Indonesia,01:43:46,00:41:07,00:32:14,00:33:13,01:55:45,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158111,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
303,560,Sriyanti Pirono,05:26:30,W 40-44,13,,Female,Indonesia,01:10:14,00:39:38,00:33:28,00:44:50,02:18:18,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158029,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
304,802,Irfan Spog,05:26:46,M 45-49,24,,Male,Indonesia,01:14:50,00:40:06,00:36:22,00:55:55,01:59:30,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158271,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
305,671,Dias Adiastuti H,05:27:08,W 40-44,14,,Female,Indonesia,01:16:00,00:45:11,00:34:22,00:40:26,02:11:06,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158140,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
306,918,Fariansyah Thaher,05:28:11,M 35-39,69,,Male,Indonesia,01:07:43,00:33:22,00:41:14,00:49:35,02:16:14,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158387,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
307,742,Ardi Tanarif Laury,05:29:31,M 40-44,44,,Male,Indonesia,01:08:28,00:47:47,00:36:27,00:35:24,02:21:24,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158211,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
308,622,Karina Budiman,05:29:49,W 18-34,17,,Female,Indonesia,01:13:54,00:40:39,00:37:03,00:44:14,02:13:57,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-158091,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
309,309,Okta R,05:30:30,W 18-34,18,,Female,Indonesia,01:17:42,00:47:05,00:30:21,00:40:00,02:15:21,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-157778,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
310,437,Dillon Martino Wicaksono,05:30:47,M 18-34,100,,Male,Indonesia,01:16:45,00:52:57,00:33:22,00:34:57,02:12:44,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-1-157906,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
