Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
171,K288,ERIC HANDOKO,02:45:09,K (Men 16-31),28,Male,129,Indonesia,00:24:35,01:17:32,00:48:53,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38961,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
172,K298,ARGAKUSUMA NATADISASTRA,02:46:24,K (Men 16-31),29,Male,130,Indonesia,00:34:49,01:20:54,00:40:43,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38971,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
173,K275,ALIFF M AZLAN,02:47:24,K (Men 16-31),30,Male,131,Malaysia,00:19:37,01:23:36,00:55:47,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38948,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
174,P465,HENNY SUHARI,02:47:34,P (Women 38-43),15,Female,43,Indonesia,00:31:42,01:16:08,00:46:37,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39138,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
175,P472,DEWI ANGGREANI,02:48:25,P (Women 38-43),16,Female,44,Indonesia,00:15:45,01:23:39,00:54:35,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39145,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
176,S420,ALBERTUS PRATOMO,02:49:00,S (Men 50-100),15,Male,132,Indonesia,00:28:21,01:10:36,00:54:26,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39093,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
177,S419,JEFFRY SONNY KAUNANG,02:51:19,S (Men 50-100),16,Male,133,Indonesia,00:35:26,01:16:08,00:46:37,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39092,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
178,Q397,DANIEL DANARTO,02:52:12,Q (Men 44-49),26,Male,134,Indonesia,00:19:24,01:24:05,00:54:36,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39070,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
179,M317,FILIPUS ARYA SEMBADASTYO,02:52:18,M (Men 32-37),31,Male,135,Indonesia,00:25:56,01:17:06,00:56:13,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38990,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
180,O366,HADE MBOI,02:52:51,O (Men 38-43),33,Male,136,Indonesia,00:23:05,01:18:06,00:49:50,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39039,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
181,T496,DEWI YAHYA,02:52:56,T (Women 50-100),8,Female,45,Indonesia,00:31:43,01:19:34,00:48:50,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39169,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
182,R487,HEDINIA CHAIRANI,02:53:25,R (Women 44-49),9,Female,46,Indonesia,00:27:49,01:14:47,00:57:14,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39160,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
183,M328,BONNY HARRY SIREGAR,02:55:24,M (Men 32-37),32,Male,137,Indonesia,00:24:39,01:14:07,00:59:22,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39001,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
184,R478,LAKSMI LESTARI,02:55:32,R (Women 44-49),10,Female,47,Indonesia,00:28:19,01:20:28,00:53:36,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39151,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
185,Q400,NOOR INDRADJIT,02:57:23,Q (Men 44-49),27,Male,138,Indonesia,00:19:47,01:31:50,00:51:04,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39073,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
186,O371,YUDA SATRIYA,02:57:38,O (Men 38-43),34,Male,139,Indonesia,00:25:37,01:20:17,00:54:38,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39044,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
187,P462,SITI NURMAILA AMIROEDDIN,03:01:06,P (Women 38-43),17,Female,48,Indonesia,00:26:28,01:28:22,00:54:14,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39135,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
188,R483,IRA RACHMASARI,03:02:41,R (Women 44-49),11,Female,49,Indonesia,00:23:14,01:27:36,00:57:34,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39156,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
189,Q384,IWAN HERYANTO,03:03:58,Q (Men 44-49),28,Male,140,Indonesia,00:22:37,01:28:37,00:55:20,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39057,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
190,R480,EVY IRMALESTARI,03:04:12,R (Women 44-49),12,Female,50,Indonesia,00:25:04,01:26:37,01:00:17,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39153,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
