Pos,Bib No,Name,Net Time,Category,Net Cat Pos,Second Cat,Gender,Country,"CP1 - KM 39,56","CP2 - KM 62,5",Finish Split Time,race_name,race_large_logo,race_category,runner_id,race_link
101,1078,Indra Wirawan,03:19:09,M 40-44,11,,Male,Indonesia,01:18:39,01:21:50,00:38:40,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158495,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
102,1068,Eddy Chandra,03:19:38,M 40-44,12,,Male,Indonesia,01:18:32,01:21:35,00:39:30,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158485,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
103,823,Andre Ferdiansyah,03:19:51,M 18-34,18,,Male,Indonesia,01:17:30,01:10:49,00:51:31,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158292,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
104,1065,Thomas Sylv,03:20:11,M 35-39,14,,Male,Indonesia,01:24:02,01:02:59,00:53:09,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158482,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
105,1070,Elisabet Amellia,03:20:14,W 35-39,11,,Female,Indonesia,01:24:02,01:02:59,00:53:12,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158487,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
106,1067,Kristy Haryanto,03:20:59,M 40-44,13,,Male,Indonesia,01:18:48,01:21:39,00:40:32,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158484,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
107,857,Robert Paul Tampubolon,03:21:08,M 45-49,14,,Male,Indonesia,01:20:17,00:57:25,01:03:26,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158326,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
108,856,Afni Khibban Khabibie,03:21:13,M 18-34,19,,Male,Indonesia,01:31:29,00:51:39,00:58:04,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158325,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
109,1037,Ibrahim Sjarif,03:21:29,M 50-54,13,,Male,Indonesia,01:24:35,01:02:15,00:54:38,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158454,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
110,747,H M Syahrir,03:21:50,M 45-49,15,,Male,Indonesia,01:32:05,00:58:44,00:50:59,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158216,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
111,1049,Viyata Devi,03:22:01,W 50-54,5,,Female,Indonesia,01:26:06,01:04:59,00:50:55,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158466,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
112,1044,Citra Paramita,03:22:11,W 35-39,12,,Female,Indonesia,01:26:09,01:04:57,00:51:04,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158461,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
113,1022,Dedy Sudarta,03:22:23,M 40-44,14,,Male,Indonesia,01:15:04,01:29:16,00:38:01,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158439,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
114,922,Bagus Daniel Wicaksana,03:22:24,M 40-44,15,,Male,Indonesia,01:18:59,01:06:46,00:56:38,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158391,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
115,1032,Robert Anton,03:23:15,M 40-44,16,,Male,Indonesia,01:15:12,01:28:56,00:39:06,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158449,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
116,1017,Ni Luh Diah Sukarmini,03:23:42,W 45-49,5,,Female,Indonesia,01:29:59,01:02:03,00:51:40,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158434,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
117,1023,Riky Wijaya,03:25:11,M 40-44,17,,Male,Indonesia,01:15:58,01:28:22,00:40:50,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158440,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
118,1099,Edi Taslim,03:26:26,M 45-49,16,,Male,Indonesia,01:22:10,01:19:22,00:44:54,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158516,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
119,1095,M Alfian Zaifani,03:29:53,M 40-44,18,,Male,Indonesia,01:29:22,01:09:13,00:51:17,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158512,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
120,1094,Inge Kencana,03:29:54,W 40-44,8,,Female,Indonesia,01:29:23,01:09:13,00:51:18,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158511,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
121,1024,David Tenggara,03:31:01,M 40-44,19,,Male,Indonesia,01:17:13,01:27:07,00:46:40,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158441,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
122,1045,Wilson Wilson,03:31:10,M 40-44,20,,Male,Indonesia,01:15:16,01:29:04,00:46:49,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158462,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
123,1109,Fera Yuliana,03:33:27,W 40-44,9,,Female,Indonesia,01:40:02,01:00:25,00:52:59,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158526,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
124,1006,Yulianto Tjung,03:33:58,M 40-44,21,,Male,Indonesia,01:37:09,01:07:23,00:49:25,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158423,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
125,1077,Wuri Utami,03:35:24,W 35-39,13,,Female,Indonesia,01:36:17,01:06:01,00:53:05,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158494,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
126,660,Amrianto Tarigan,03:36:08,M 45-49,17,,Male,Indonesia,01:20:09,01:25:33,00:50:25,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158129,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
127,1025,Jhonly Tjoeng,03:36:33,M 40-44,22,,Male,Indonesia,01:15:14,01:29:13,00:52:04,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158442,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
128,1093,Alex Firdaus,03:36:33,M 45-49,18,,Male,Indonesia,01:16:03,01:28:24,00:52:04,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158510,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
