Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Start,KM 5,KM 10,KM 15,KM 18,"KM 21,1",KM 25,KM 30,KM 35,"KM 40,8",Finish,race_name,race_large_logo,race_category,runner_id,race_link
1,1,GEOFFREY KIPROTICH BIRGEN,02:15:20,Top 3 Overall,1,Male,1,Kenya,00:00:01,,00:30:44,00:16:01,00:09:36,00:10:05,00:12:37,00:16:24,00:16:29,00:18:03,00:05:18,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208958,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
2,2,STEPHEN MUNGATHIA MUGAMBI,02:19:43,Top 3 Overall,2,Male,2,Kenya,00:00:02,,00:30:59,00:16:03,00:09:42,00:10:13,00:12:51,00:16:43,00:17:35,00:19:25,00:06:08,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208959,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
3,8,EDWIN MIRITIM,02:25:52,Top 3 Overall,3,Male,3,Kenya,00:00:01,,00:31:32,00:17:29,00:10:28,00:11:08,00:13:47,00:17:41,00:17:54,00:20:03,00:05:47,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208965,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
4,6,RIKKI MARTHIN L SIMBOLON,02:32:52,Top 5 National,1,Male,4,Indonesia,00:00:01,00:17:47,00:17:52,00:18:37,00:10:41,00:11:12,00:13:51,00:17:51,00:18:34,00:20:17,00:06:04,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208963,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
5,B11230,Ranto,02:36:33,Top 5 National,2,Male,5,Indonesia,00:00:01,00:17:55,00:17:57,00:18:34,00:10:59,00:11:28,00:14:23,00:18:50,00:19:20,00:21:14,00:05:47,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199536,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
6,14,BETMEN MANURUNG,02:37:33,Top 5 National,3,Male,6,Indonesia,00:00:01,00:17:47,00:17:51,00:18:37,00:10:58,00:11:30,00:14:27,00:18:57,00:19:19,00:21:34,00:06:26,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208971,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
7,3,AGUS PRAYOGO,02:37:34,Top 5 National,4,Male,7,Indonesia,00:00:01,00:17:48,00:17:52,00:18:36,00:10:59,00:11:29,00:14:27,00:18:57,00:19:19,00:21:13,00:06:48,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
8,10,DIKKI ABDUL MAJID,02:38:11,Top 5 National,5,Male,8,Indonesia,00:00:00,00:17:48,00:17:51,00:18:38,00:10:58,00:11:30,00:14:26,00:18:57,00:19:20,00:22:04,00:06:35,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208967,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
9,B11202,Hamka,02:39:54,National,1,Male,9,Indonesia,00:00:01,00:18:02,00:17:59,00:18:26,00:11:02,00:11:30,00:14:31,00:18:59,00:20:13,00:22:41,00:06:25,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199508,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
10,A11455,Samson Karega Kamau,02:44:05,Overall,1,Male,10,Kenya,00:00:01,00:16:59,00:17:45,00:18:20,00:11:06,00:11:20,00:14:31,00:19:08,00:22:27,00:25:28,00:06:57,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199761,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
11,18,IMAM MAHDIN,02:44:31,National,2,Male,11,Indonesia,00:00:02,00:17:47,00:17:51,00:18:37,00:10:59,00:11:29,00:14:41,00:21:11,00:21:30,00:23:28,00:06:51,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208975,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
12,17,MUHAMMAD ALI,02:45:47,National,3,Male,12,Indonesia,00:00:02,00:18:01,00:17:58,00:18:27,00:10:59,00:11:28,00:14:31,00:19:54,00:21:56,00:24:56,00:07:31,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208974,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
13,B11547,Roman Smaradhana Elhaj,02:48:31,National,4,Male,13,Indonesia,,02:14:15,,,,,,,,,02:48:31,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199853,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
14,D11350,Sheila Chesang,02:50:24,Top 3 Overall,1,Female,1,Kenya,00:00:01,00:19:48,00:20:25,00:20:20,00:12:08,00:12:21,00:15:52,00:20:41,00:20:49,00:22:00,00:05:55,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199656,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
15,51,PENINAH JEPKOECH KIGEN,02:50:36,Top 3 Overall,2,Female,2,Kenya,00:00:02,00:19:47,00:20:24,00:20:21,00:12:08,00:12:21,00:15:52,00:20:41,00:20:48,00:22:00,00:06:07,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208981,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
16,52,ODEKTA ELVINA NAIBAHO,02:52:01,Top 3 Overall,3,Female,3,Indonesia,00:00:01,00:19:48,00:20:32,00:20:24,00:12:13,00:12:43,00:15:40,00:20:47,00:20:45,00:22:34,00:06:29,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208982,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
17,C10422,Faizin Faizin,02:53:12,Master,1,Male,14,Indonesia,00:00:02,00:20:20,00:20:23,00:20:47,00:12:20,00:12:57,00:16:14,00:21:08,00:19:53,00:22:29,00:06:35,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198728,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
18,B11444,Pipin Margaretta,02:53:33,National,5,Male,15,Indonesia,,02:01:59,,,,,,,,,02:53:33,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199750,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
19,22,RUDI FEBRIADE,02:54:44,National,6,Male,16,Indonesia,00:00:01,00:17:47,00:17:52,00:18:36,00:10:58,00:12:02,00:17:21,00:23:46,00:23:15,00:26:07,00:06:53,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208979,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
20,C10954,Saiin Alim,02:55:25,Master,2,Male,17,Indonesia,00:00:02,00:20:19,00:20:22,00:20:49,00:12:19,00:12:58,00:16:14,00:21:08,00:20:44,00:23:42,00:06:44,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199260,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
21,B10669,Alfridus Mau,02:58:34,National,7,Male,18,Indonesia,00:00:02,00:19:56,00:19:41,00:20:33,00:12:30,00:13:06,00:16:33,00:21:57,00:22:36,00:24:35,00:07:01,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-198975,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
22,C11253,Margono,02:59:19,Master,3,Male,19,Indonesia,00:00:02,00:20:26,00:20:15,00:20:54,00:12:25,00:12:56,00:16:11,00:21:08,00:22:10,00:25:43,00:07:03,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199559,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
23,23,AMRAM NAFTALI OPAT,03:00:22,National,8,Male,20,Indonesia,00:00:01,00:18:02,00:18:00,00:18:41,00:11:15,00:12:01,00:15:37,00:22:00,00:25:28,00:31:01,00:08:11,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-208980,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
24,D11456,Christine Kambua Muyanga,03:05:24,Overall,1,Female,4,Kenya,00:00:01,00:19:48,00:20:24,00:20:21,00:12:07,00:12:25,00:16:29,00:24:05,00:25:25,00:26:33,00:07:41,Borobudur Marathon,https://images.racetec.net/results/racelogo/19723/19723_152.jpg,Marathon,http://results.scorenow.co.id/myresults.aspx?uid=19723-152-1-199762,http://results.scorenow.co.id/results.aspx?CId=19723&RId=152
