Pos,Bib No,Name,Time,Gender,Gen Pos,Country,Start,"CP 1 KM 2,5",CP 2 KM 5,"CP 3 KM 7,5",Finish,race_name,race_large_logo,race_category,runner_id,race_link
601,M 0601,Dhimas Dwiagung Pambudi,01:15:33,Male,476,Indonesia,00:00:42,00:17:07,00:17:59,00:19:11,00:20:32,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-196682,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
602,F 0447,Yuni Lestari,01:15:35,Female,118,Indonesia,00:00:33,00:08:35,00:28:20,00:19:01,00:19:04,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-196528,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
603,M 1030,R NG ADITYA PRASTYO KUSUMA WIJAYA,01:15:36,Male,477,Indonesia,00:01:14,00:17:21,00:19:04,00:17:58,00:19:57,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-194045,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
604,M 1304,Watono Watono,01:15:37,Male,478,Indonesia,00:01:09,00:08:32,00:26:24,00:19:21,00:20:09,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-194319,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
605,M 0616,Ade sohali,01:15:40,Male,479,Indonesia,00:00:31,00:08:51,00:27:40,00:19:29,00:19:07,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-196697,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
606,M 1300,Dwi Katmono,01:15:42,Male,480,Indonesia,00:01:16,00:19:09,00:18:05,00:18:44,00:18:27,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-194315,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
607,F 0634,Ika Ariyanti,01:15:43,Female,119,Indonesia,00:00:33,00:17:57,00:18:27,00:19:28,00:19:16,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-196715,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
608,M 0272,Enggar Wardhana,01:15:44,Male,481,Indonesia,00:00:13,00:18:41,00:18:53,00:18:30,00:19:25,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-196353,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
609,M 0617,Rizki aulia hidayat,01:15:45,Male,482,Indonesia,00:00:22,00:17:47,00:18:22,00:19:02,00:20:10,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-196698,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
610,M 0187,AZIZ NUR ARIFYANTO,01:15:46,Male,483,Indonesia,00:01:09,00:19:25,00:18:02,00:19:01,00:18:07,Pocari Sweat Sports Run Tourism,https://images.racetec.net/results/racelogo/19723/19723_150.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-150-1-196268,http://results.scorenow.co.id/results.aspx?CId=19723&RId=150
