Pos,Bib No,Name,Time,Net Time,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
51,1225,Faisal Issom,06:56:14,06:56:07,Male,43,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12828,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
52,1242,Heri Herawan,06:58:35,06:58:35,Male,44,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12845,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
53,1295,Nur Fuad,06:58:35,06:58:35,Male,45,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12898,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
54,1300,Prakoso Harold Simbolon,06:58:35,06:58:29,Male,46,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12903,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
55,1360,Nano Sugiri,06:58:48,06:58:48,Male,47,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12963,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
56,1298,PHAM VU THANG,06:59:29,06:49:58,Male,48,Vietnam,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12901,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
57,1317,Roberto Chetti,07:00:33,06:58:25,Male,49,Italy,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12920,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
58,1184,Antonio Nicholas Ricci,07:00:33,06:58:29,Male,50,Italy,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12787,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
59,1231,Giacomo Sapienza,07:00:33,06:58:23,Male,51,Italy,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12834,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
60,1355,Yanuar Gunawan,07:05:15,07:05:14,Male,52,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12958,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
61,1205,Dani Irawan,07:05:41,07:05:41,Male,53,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12808,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
62,1232,Go Min Lay,07:09:12,07:09:09,Male,54,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12835,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
63,1306,Rahmat Akbar,07:12:12,07:12:10,Male,55,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12909,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
64,1275,Michelle Fat,07:12:59,07:12:50,Female,9,Philippines,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12878,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
65,1268,Lutfi Harada,07:13:01,07:12:58,Male,56,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12871,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
66,1287,Mulyadi Budiyanto,07:13:04,07:13:00,Male,57,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12890,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
67,1221,Erry Permana,07:14:31,07:14:31,Male,58,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12824,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
68,1297,Petrus Gautama,07:15:29,07:15:19,Male,59,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12900,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
69,1334,Soberi Soberi,07:17:41,07:17:41,Male,60,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12937,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
70,1211,Dony Istiawan,07:18:03,07:17:57,Male,61,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12814,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
71,1294,Norazah Elias,07:19:05,07:18:59,Female,10,Malaysia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12897,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
72,1215,Eko Setiawan,07:20:14,07:20:07,Male,62,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12818,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
73,1313,Rivandi Yusuf,07:21:14,07:21:12,Male,63,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12916,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
74,1263,Lee Jiang,07:21:35,07:21:30,Male,64,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12866,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
75,1247,Ibnu Alfian,07:22:51,07:22:49,Male,65,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12850,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
76,1267,Lutfi Atha,07:25:41,07:25:36,Male,66,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12870,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
77,1246,I Made Agus Parta,07:28:10,07:28:10,Male,67,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12849,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
78,1359,Siming ZHANG,07:30:16,07:30:12,Male,68,China,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12962,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
79,1285,Muhammad Riza Firdaus,07:30:22,07:30:19,Male,69,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12888,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
80,1277,Mohammad Rafiq Haririh,07:30:47,07:29:59,Male,70,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12880,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
81,1244,Hezron Manurung,07:30:48,07:30:45,Male,71,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12847,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
82,1178,Amos Zferdinand Oktavianus,07:33:17,07:33:15,Male,72,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12781,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
83,1312,Ribut Laksono,07:33:22,07:33:22,Male,73,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12915,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
84,1192,Balbet Faisol,07:34:27,07:34:21,Male,74,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12795,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
85,1281,Mohd Zubair Ansari Samsul,07:35:37,07:35:25,Male,75,Malaysia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12884,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
86,1283,Muhammad Azvi,07:35:48,07:35:46,Male,76,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12886,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
87,1185,Arfan Djafar,07:36:01,07:35:59,Male,77,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12788,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
88,1249,Iqro Mutahajjid,07:37:51,07:37:49,Male,78,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12852,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
89,1286,Muhammad Surya Putra,07:37:59,07:37:59,Male,79,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12889,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
90,1220,Erfa Arya,07:37:59,07:37:59,Male,80,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12823,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
91,1304,Purwanto Ana,07:38:46,07:38:42,Male,81,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12907,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
92,1364,Sulistiono Supjono,07:38:50,07:38:47,Male,82,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12967,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
93,1318,Roland Tan,07:40:33,07:40:27,Male,83,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12921,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
94,1201,Chindy Lien,07:42:14,07:42:11,Female,11,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12804,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
95,1264,Lie Kristi Evi,07:42:54,07:42:54,Female,12,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12867,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
96,1195,Bayu Herwanto,07:44:38,07:44:34,Male,84,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12798,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
97,1188,Arjanggi Nuswantoro,07:44:38,07:44:22,Male,85,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12791,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
98,1279,Mohd Yusni Mohd Sani,07:45:12,07:45:09,Male,86,Singapore,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12882,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
99,1228,Felicia Angelina,07:45:23,07:45:20,Female,13,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12831,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
100,1357,Yayak Yayak,07:45:46,07:45:38,Male,87,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,42K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-1-12960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
