Pos,Race No,Name,Time,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
37,148,Gerard Charanduk,04:39:34,MALE 55 - 59,1,Male,36,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-81960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
38,607,Sandra Gurtner,04:40:22,Top 3 Overall,2,Female,2,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82297,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
39,608,Michael Boesiger,04:40:24,MALE 45 - 49,3,Male,37,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82298,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
40,1336,Kaoru Nakayashiki,04:40:38,MALE 50 - 54,4,Male,38,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82766,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
41,1321,Alex Vidi Firdaus,04:40:38,MALE 45 - 49,4,Male,39,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82753,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
42,293,Yosua Willy Cahyadi,04:45:00,MALE 18 - 39,25,Male,40,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82099,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
43,843,Ahmad Habibie,04:45:18,MALE 18 - 39,26,Male,41,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82510,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
44,1520,Yohan Saputra,04:46:00,MALE 18 - 39,27,Male,42,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82862,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
45,266,Triyono Nugroho,04:47:35,MALE 18 - 39,28,Male,43,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82072,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
46,725,Jeff Sutanto,04:47:53,MALE 50 - 54,5,Male,44,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82404,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
47,283,Hendra Permadi,04:47:53,MALE 40 - 44,4,Male,45,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82089,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
48,294,Donny Alvela,04:47:54,MALE 18 - 39,29,Male,46,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82100,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
49,22,Francesco Bruno,04:47:57,MALE 45 - 49,5,Male,47,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-81882,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
50,450,Andreas Gunawan,04:50:17,MALE 18 - 39,30,Male,48,GFNY Bali 2019,https://images.racetec.net/results/racelogo/19723/19723_46.png,GRAN FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-46-1-82201,http://results.scorenow.co.id/results.aspx?CId=19723&RId=46
