Pos,Bib No,Name,Time,Net Time,Gender,Gen Pos,Country,race_name,race_large_logo,race_category,runner_id,race_link
1,1,HM Irsyad Yusuf,00:44:13,00:44:11,Male,1,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11607,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
2,4,Keluarga Bupati 1,00:44:19,00:43:13,Male,2,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11610,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
3,545,Pertamina Gas 5,00:44:30,00:44:30,Male,3,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-12149,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
4,550,Pertamina Gas 10,00:44:38,00:44:37,Male,4,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-12154,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
5,97,Dhody Yanuar Rachman,01:06:27,01:06:27,Male,5,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11703,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
6,328,Onto Nurseto,01:08:09,01:08:06,Male,6,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11933,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
7,498,Dharma Bagus Mantra,01:11:01,01:10:55,Male,7,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-12102,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
8,367,Rizky Lukmana,01:11:50,01:11:04,Male,8,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11972,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
9,283,Muhammad Sony Ardiansyah,01:11:56,01:11:56,Male,9,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11888,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
10,223,Laura Dransfield,01:12:19,01:06:43,Female,1,England,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11828,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
11,333,Pangiran Kakai Abd Halim,01:13:42,01:13:14,Male,10,Malaysia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11938,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
12,61,Arie Irawandi,01:14:32,01:14:29,Male,11,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11667,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
13,486,Yudho Kesworo,01:14:59,01:14:59,Male,12,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-12090,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
14,125,Elfan Ramadhon,01:16:52,01:16:52,Male,13,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11731,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
15,44,Andre Firmansyah,01:18:03,01:18:03,Male,14,Indonesia,BROMO MARATHON,https://images.racetec.net/results/racelogo/19723/19723_18.jpg,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-18-3-11650,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18
