Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,CP 1 - KM 4,Pace,CP 2 - KM 8,Pace,Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
766,M5202,DWI ARIF IKHWANTO,01:31:44.433,NATIONAL,550,Male,562,00:35:54.990,9:23 min/km,00:34:18.680,8:59 min/km,00:19:50.003,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152058,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
767,5608,10K PANDARA 3,01:31:46.487,NATIONAL,6,Unknown,12,00:49:01.917,12:15 min/km,00:28:02.993,9:38 min/km,00:14:41.577,9:10 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152473,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
768,M4095,DADANG SEPTIANTO,01:31:54.970,NATIONAL,551,Male,563,00:34:43.973,8:43 min/km,00:38:08.690,9:07 min/km,00:18:52.707,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150960,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
769,P4869,LENNY KESUMA,01:31:54.990,NATIONAL,184,Female,194,00:34:43.480,8:43 min/km,00:38:08.853,9:07 min/km,00:18:52.453,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151734,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
770,5607,10K PANDARA 2,01:31:58.093,NATIONAL,7,Unknown,13,00:35:14.237,9:22 min/km,00:35:00.513,9:03 min/km,00:19:27.340,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-152472,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
771,M4027,GASALI RAHMAWAN,01:31:59.407,NATIONAL,552,Male,564,00:36:00.707,9:15 min/km,00:35:46.490,9:05 min/km,00:19:11.887,9:11 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150892,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
772,P4647,AZKA NADIA,01:32:00.403,NATIONAL,185,Female,195,00:36:10.053,9:35 min/km,00:34:15.140,9:04 min/km,00:19:24.547,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151512,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
773,P4745,SUSIE WAHIDIN,01:32:04.923,NATIONAL,186,Female,196,00:32:00.810,8:02 min/km,00:41:25.693,9:11 min/km,00:18:29.187,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151610,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
774,M4055,ARJUNA EKA SAPUTRA,01:32:05.660,NATIONAL,553,Male,565,00:34:07.733,8:42 min/km,00:37:10.510,9:00 min/km,00:20:04.777,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150920,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
775,M4239,ANDRI KORNIAWAN,01:32:05.890,NATIONAL,554,Male,566,00:36:40.053,9:26 min/km,00:36:07.940,9:14 min/km,00:18:11.627,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151104,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
776,P4088,TIWIK HASTARI,01:32:06.583,NATIONAL,187,Female,197,00:35:23.900,8:56 min/km,00:35:33.867,8:54 min/km,00:20:47.090,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150953,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
777,M4127,DANNY IRAWAN,01:32:06.590,NATIONAL,555,Male,567,00:36:38.553,9:26 min/km,00:36:07.437,9:14 min/km,00:18:12.167,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150992,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
778,M4113,ANDHIKA PUTRA LAKSMANA,01:32:06.773,NATIONAL,556,Male,568,00:35:23.333,8:56 min/km,00:35:42.497,8:55 min/km,00:20:38.813,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150978,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
779,P4179,SISCA WULANDARI,01:32:07.497,NATIONAL,188,Female,198,00:36:31.977,9:15 min/km,00:36:04.977,9:08 min/km,00:19:02.337,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151044,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
780,M4218,IVAN PRATAMA RUSADI,01:32:08.973,NATIONAL,557,Male,569,00:32:10.047,8:15 min/km,00:36:52.993,8:44 min/km,00:22:15.367,9:12 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151083,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
781,M5029,MOHAMAD AYAT HIDAYAT,01:32:13.230,NATIONAL,558,Male,570,00:35:33.207,9:10 min/km,00:35:49.767,9:03 min/km,00:19:42.283,9:13 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151894,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
782,M5067,ALIEF PRAMADITO,01:32:14.200,NATIONAL,559,Male,571,00:38:03.047,9:55 min/km,00:32:00.650,8:57 min/km,00:20:33.480,9:13 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151932,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
783,M4123,ADIB AULIAWAN,01:32:16.453,NATIONAL,560,Male,572,00:34:32.077,8:47 min/km,00:37:41.157,9:06 min/km,00:19:26.327,9:13 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150988,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
