Pos,Race No,Name,Laps,Dist Done,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
1,112,LISANTO ADRIAN LEE,128,92.032,OPEN,1,Male,1,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136020,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
2,104,ARI ISKANDAR,125,89.875,OPEN,2,Male,2,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136012,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
3,120,TAUFIQ JANUAR,124,89.156,OPEN,3,Male,3,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136028,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
4,301,BASHERRI ANJUM,123,88.437,OPEN,1,Female,1,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136044,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
5,306,MAYA MARIANY,123,88.437,OPEN,2,Female,2,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136049,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
6,209,MARIADI,121,86.999,SENIOR,1,Male,4,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136039,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
7,113,NURSA NANDO,121,86.999,OPEN,4,Male,5,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136021,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
8,102,AGUSTINUS FRENGKY,115,82.685,OPEN,5,Male,6,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136010,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
9,108,IZZAD SOFYAN AMRULLAH,115,82.685,OPEN,6,Male,7,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136016,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
10,310,RANI TANDIONO,114,81.966,OPEN,3,Female,3,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136053,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
